,n_rejected,workertimes,unp_rank,generations,param_norm,grad_norm,n_reused,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
0,0,5.5487892627716064,60,0,14.150451,5.6667423,0,6.234043121337891,-2.7035953998565674,-2.703505039215088,0.05,-5.9914646,0.05,-2.9275078773498535,-2.4713997840881348,-2.7036707401275635,0.00885072723031044,-270.3670654296875,-2.7200377,-2.708275,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
1,0,2.9675164222717285,70,1,14.156389,5.6868343,0,9.802855730056763,-2.675673007965088,-2.6756439208984375,0.05,-5.9914646,0.05,-2.9235241413116455,-2.4417219161987305,-2.675769090652466,0.009221851825714111,-267.576904296875,-2.7179806,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
2,0,3.0520613193511963,49,2,14.172005,5.631393,0,13.45394492149353,-2.6614818572998047,-2.661508560180664,0.05,-5.9914646,0.05,-2.9140608310699463,-2.3945517539978027,-2.6614718437194824,0.010823811404407024,-266.1471862792969,-2.6623569,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
3,0,3.005521297454834,39,3,14.201808,5.6962433,0,17.011121034622192,-2.6165785789489746,-2.6169331073760986,0.05,-5.9914646,0.05,-2.89467191696167,-2.422990322113037,-2.616347074508667,0.011311838403344154,-261.63470458984375,-2.5737424,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
4,0,3.0126993656158447,42,4,14.243315,5.6942134,0,20.62119770050049,-2.570310354232788,-2.570188522338867,0.05,-5.9914646,0.05,-2.815539598464966,-2.291261911392212,-2.570469617843628,0.00987145397812128,-257.0469665527344,-2.529471,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
5,0,3.0188815593719482,9,5,14.299802,5.6718082,0,24.241190195083618,-2.5473828315734863,-2.547532081604004,0.05,-5.9914646,0.05,-2.838467836380005,-2.3023858070373535,-2.5473647117614746,0.011016029864549637,-254.73648071289062,-2.3975246,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
6,0,2.9479193687438965,1,6,14.370146,5.5100145,0,27.74009108543396,-2.4804723262786865,-2.4804439544677734,0.05,-5.9914646,0.05,-2.717069149017334,-2.2943320274353027,-2.4805126190185547,0.009147844277322292,-248.05125427246094,-2.2857542,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
7,0,3.3767054080963135,2,7,14.453351,5.629363,0,31.723223447799683,-2.419682264328003,-2.4196529388427734,0.05,-5.9914646,0.05,-2.6554689407348633,-2.198681116104126,-2.4196465015411377,0.009418780915439129,-241.96466064453125,-2.2116373,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
8,0,3.1476247310638428,1,8,14.548222,5.6972,0,35.418713331222534,-2.369328737258911,-2.3693723678588867,0.05,-5.9914646,0.05,-2.6177875995635986,-2.133477210998535,-2.369222402572632,0.011120512150228024,-236.9222412109375,-2.099129,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
9,0,2.9740254878997803,1,9,14.654638,5.5800843,0,38.99697279930115,-2.314913749694824,-2.315084457397461,0.05,-5.9914646,0.05,-2.5716614723205566,-2.1411733627319336,-2.314861536026001,0.00725362915545702,-231.4861602783203,-2.0220277,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
