,grad_norm,generations,workertimes,walltimes,n_rejected,unp_rank,n_reused,param_norm,baseline_mu,baseline_sigma,sigma,beta,estim_mu_var,var_mu_change,estim_sigma_var,var_sigma_change,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,3.5487874,0,32.35831117630005,96.94243454933167,0,10,0,31.771236,0.8099435567855835,0.810011625289917,0.05,-5.9554915,180250.84673343578,0.0025937419638731394,110423115783850.22,9328771.330699986,1.0,1.0,0.0,9.0,0.81,6.633900000000002,81.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
1,3.7863708,1,31.94338893890381,190.50143337249756,0,9,0,32.443474,0.6998339891433716,0.6995100975036621,0.05021306,-5.9554915,178272.3509892715,0.00842377800727133,108476161816189.14,19301804.59848698,1.0,1.0,0.0,9.0,0.7,5.67,70.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
2,3.6058662,2,31.477760553359985,283.5286433696747,0,10,0,33.82987,0.5698062181472778,0.5697634816169739,0.05040121,-5.9554915,177298.1629379677,0.0008383543971268879,106934959084708.25,485722.44410098816,1.0,1.0,0.0,10.0,0.57,4.2451,57.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
3,4.078731,3,31.359145641326904,376.8153119087219,0,8,0,36.014313,0.6101848483085632,0.6104133129119873,0.05054086,-5.9554915,168631.173155923,0.0021182712533851728,105787164809133.83,5538088.3134934185,1.0,1.0,0.0,9.0,0.61,4.977900000000002,61.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
4,4.3757114,4,31.445894718170166,471.4831132888794,0,7,0,39.04152,0.4000263512134552,0.40004420280456543,0.050655726,-5.9554915,171967.42490982672,0.006893954368460449,104828860718160.1,14570630.20065846,1.0,1.0,0.0,9.0,0.4,2.96,40.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
5,3.1425831,5,30.952007293701172,564.328629732132,0,15,0,42.7497,1.049924373626709,1.0498096942901611,0.0507464,-5.9554915,170696.9447098921,0.0022540749686031894,104034108219582.52,8354309.514663087,1.0,1.0,0.0,9.0,1.05,7.9875,105.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
6,2.4111662,6,31.507409811019897,658.6101715564728,0,22,0,46.837215,1.6805475950241089,1.6808699369430542,0.05082503,-5.9554915,169694.83595462533,0.002693345593849898,103351714192347.61,1706522.3415892457,1.0,1.0,0.0,9.0,1.68,11.6976,168.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
7,2.226354,7,31.88158130645752,751.6570150852203,0,2,0,51.060917,1.990544319152832,1.9911657571792603,0.050907463,-5.9347196,173036.00889866197,0.011980066984102394,102768997868573.23,24001044.568666916,1.0,1.0,0.0,10.0,1.99,12.8499,199.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
8,2.2107012,8,31.65725302696228,844.7735512256622,0,2,0,55.26379,2.6406004428863525,2.641342878341675,0.050999243,-5.9347196,172132.34381233866,0.019474682466761782,102074755434854.27,46024068.453690656,1.0,1.0,0.0,10.0,2.64,16.630399999999995,264.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
9,2.57334,9,31.90267038345337,937.8813064098358,0,1,0,59.372215,4.359913349151611,4.359711647033691,0.051103745,-5.9347196,172598.21367298727,0.0010647762974454582,101244939574884.78,2465231.3531392417,1.0,1.0,0.0,9.0,4.36,19.570400000000003,436.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
10,2.6111987,10,32.25439476966858,1032.298667192459,0,1,0,63.35984,5.090198993682861,5.0902791023254395,0.0512097,-5.9347196,167620.10151718324,0.0004900230568456157,100310593016419.61,446541.53051151603,1.0,1.0,0.0,9.0,5.09,19.0019,509.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
11,2.619193,11,31.596794605255127,1125.5481839179993,0,1,0,67.216736,6.249953269958496,6.249992370605469,0.05130644,-5.9347196,171123.2861451582,0.0030231354963393166,99513348787206.22,10016137.677838767,1.0,1.0,0.0,9.0,6.25,16.1675,625.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
12,2.62818,12,31.924952030181885,1219.1024038791656,0,1,0,70.937675,8.030116081237793,8.030205726623535,0.05138093,-5.9347196,167711.72857448162,0.0013194759990864805,98938854470703.52,2055425.8580551343,1.0,1.0,0.0,9.0,8.03,7.169100000000001,803.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
