,workertimes,param_norm,walltimes,generations,n_reused,grad_norm,unp_rank,n_rejected,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
32,28.956921100616455,103.968994,1167.4024002552032,32,0,2.4967923,10,0,143.20521545410156,0.0,0.05,-5.9914646,1.0,0.0,220.0,143.2,2029.76,14320.0,160.0,,766,1000,971.28,2527.3216,97128,995,
33,28.649830102920532,105.8959,1203.1772201061249,33,0,2.4961855,14,0,138.002197265625,0.0,0.05,-5.9914646,1.0,0.0,220.0,138.0,2580.0,13800.0,160.0,,592,1000,966.42,5074.1836,96642,993,
34,29.5534725189209,107.76482,1239.9609174728394,34,0,2.494902,10,0,140.40220642089844,0.0,0.05,-5.9914646,1.0,0.0,220.0,140.4,1959.84,14040.0,160.0,,656,1000,968.26,3638.6524,96826,1000,
35,29.704612731933594,109.58007,1277.0904023647308,35,0,2.4942832,2,0,137.4083251953125,0.0,0.05,-5.9914646,1.0,0.0,220.0,137.4,2869.2400000000007,13740.0,200.0,,632,1000,969.98,3676.3196,96998,1000,
36,29.313983917236328,111.34068,1313.54936337471,36,0,2.4981546,2,0,142.99349975585938,0.0,0.05,-5.9914646,1.0,0.0,260.0,143.0,2267.0,14300.0,220.0,,633,1000,965.38,6187.355600000002,96538,1000,
37,28.045082092285156,113.052505,1348.8286595344543,37,0,2.4968734,14,0,141.79586791992188,0.0,0.05,-5.9914646,1.0,0.0,220.0,141.8,1720.7599999999993,14180.0,160.0,,561,1000,954.6,8057.300000000001,95460,994,
38,28.15648102760315,114.71609,1384.1039822101593,38,0,2.4956596,18,0,132.993408203125,0.0,0.05,-5.9914646,1.0,0.0,240.0,133.0,3107.0,13300.0,160.0,,617,1000,957.31,8483.393900000001,95731,1000,
39,28.367482900619507,116.3307,1419.6025128364563,39,0,2.4983456,14,0,134.79917907714844,0.0,0.05,-5.9914646,1.0,0.0,220.0,134.8,2252.9600000000005,13480.0,160.0,,686,1000,948.97,7425.3291,94897,1000,
40,27.888458490371704,117.898575,1454.6058611869812,40,0,2.4943388,10,0,133.79498291015625,0.0,0.05,-5.9914646,1.0,0.0,240.0,133.8,3437.56,13380.0,180.0,,439,1000,938.54,11205.848399999995,93854,1000,
41,26.90035390853882,119.4188,1488.7138049602509,41,0,2.4962323,15,0,136.80349731445312,0.0,0.05,-5.9914646,1.0,0.0,240.0,136.8,2549.7599999999993,13680.0,160.0,,514,1000,936.16,11405.554399999999,93616,1000,
42,29.215044498443604,120.892235,1525.0688683986664,42,0,2.4974747,22,0,140.0018768310547,0.0,0.05,-5.9914646,1.0,0.0,240.0,140.0,2680.0,14000.0,160.0,,517,1000,962.88,7263.7256,96288,1000,
43,27.300652265548706,122.32686,1559.5812406539917,43,0,2.4977515,11,0,128.39540100097656,0.0,0.05,-5.9914646,1.0,0.0,220.0,128.4,2929.44,12840.0,160.0,,547,1000,934.21,12716.925900000004,93421,1000,
44,28.210654973983765,123.72066,1594.9249320030212,44,0,2.4963133,15,0,136.20175170898438,0.0,0.05,-5.9914646,1.0,0.0,240.0,136.2,2965.5600000000004,13620.0,160.0,,356,1000,954.88,10191.4256,95488,1000,
45,29.03194808959961,125.07354,1631.0973906517029,45,0,2.4969044,16,0,135.9975128173828,0.0,0.05,-5.9914646,1.0,0.0,200.0,136.0,2280.0,13600.0,160.0,,724,1000,961.1,5948.529999999999,96110,1000,
46,28.619138717651367,126.38795,1666.8372597694397,46,0,2.4986687,9,0,129.40118408203125,0.0,0.05,-5.9914646,1.0,0.0,220.0,129.4,2907.64,12940.0,160.0,,592,1000,951.88,8203.945600000001,95188,1000,
47,27.535933256149292,127.665924,1701.4938838481903,47,0,2.496299,15,0,134.20974731445312,0.0,0.05,-5.9914646,1.0,0.0,220.0,134.2,2842.36,13420.0,160.0,,535,1000,948.58,11276.023599999999,94858,1000,
