,n_rejected,unp_rank,walltimes,workertimes,n_reused,generations,grad_norm,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
22,0,8,769.8925595283508,28.62985062599182,0,22,2.1287854,72.346375,0.0,0.0,0.050016522,-5.988051,1.0,1.0,0.0,180.0,145.6,1272.64,14560.0,160.0,,721,1000,957.23,5345.237099999999,95723,990,
23,0,3,804.5897614955902,29.488876819610596,0,23,2.128831,74.40695,0.0,0.0,0.050061323,-5.988051,1.0,1.0,0.0,180.0,142.0,1612.0,14200.0,160.0,,698,1000,965.69,3867.6739000000002,96569,986,
24,0,9,839.0659906864166,29.19650149345398,0,24,2.1300108,76.41945,0.0,0.0,0.050084636,-5.988051,1.0,1.0,20.0,220.0,153.0,779.0,15300.0,160.0,,742,1000,971.99,2082.9299,97199,981,
25,0,4,872.9598321914673,28.748514652252197,0,25,2.1297138,78.381035,0.0,0.0,0.050086975,-5.988051,1.0,1.0,0.0,200.0,151.8,736.76,15180.0,160.0,,657,1000,975.2,2821.74,97520,982,
26,0,10,906.9168355464935,28.803040266036987,0,26,2.1291242,80.29542,0.0,0.0,0.05007764,-5.988051,1.0,1.0,0.0,200.0,145.6,1800.6399999999994,14560.0,160.0,,733,1000,974.08,2441.753599999999,97408,980,
27,0,6,939.8671402931213,27.800323963165283,0,27,2.130133,82.16325,0.0,0.0,0.050048612,-5.988051,1.0,1.0,20.0,200.0,145.6,976.64,14560.0,160.0,,584,1000,953.1,6927.3899999999985,95310,978,
28,0,6,973.6180431842804,28.460139274597168,0,28,2.1287143,83.98234,0.0,0.0,0.050057035,-5.988051,1.0,1.0,0.0,220.0,149.0,1019.0,14900.0,160.0,,537,1000,972.89,3470.237899999999,97289,993,
29,0,11,1007.5312366485596,28.628403186798096,0,29,2.1294465,85.75341,0.0,0.0,0.050033808,-5.988051,1.0,1.0,0.0,220.0,145.6,1328.6399999999994,14560.0,160.0,,734,1000,963.21,4267.0459,96321,968,
30,0,10,1041.0615541934967,28.44733738899231,0,30,2.1307619,87.47489,0.0,0.0,0.050027806,-5.988051,1.0,1.0,0.0,220.0,149.0,1331.0,14900.0,160.0,,637,1000,961.53,5123.7091,96153,975,
31,0,9,1074.2770845890045,27.937750101089478,0,31,2.128936,89.148224,0.0,0.0,0.050046403,-5.988051,1.0,1.0,0.0,200.0,148.8,1178.5599999999997,14880.0,160.0,,657,1000,968.98,3554.159600000001,96898,981,
