,unp_rank,n_rejected,walltimes,workertimes,param_norm,grad_norm,n_reused,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
75,9,0,2553.4883630275726,29.333151817321777,168.42242,42.56106,0,75,0.0,0.0,0.05,-5.9914646,0.05,20.0,200.0,153.8,621.56,15380.0,160.0,,705,1000,983.83,2317.2210999999998,98383,1000,
76,14,0,2588.799904823303,30.17543125152588,169.67918,42.489513,0,76,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,153.4,832.44,15340.0,160.0,,784,1000,985.67,1884.5811000000003,98567,1000,
77,19,0,2623.373527288437,29.414033889770508,170.92668,42.55565,0,77,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,157.2,632.16,15720.0,160.0,,611,1000,984.47,2974.7891,98447,1000,
78,20,0,2658.5435626506805,30.14885926246643,172.16563,42.570293,0,78,0.0,0.0,0.05,-5.9914646,0.05,100.0,220.0,160.0,280.0,16000.0,160.0,,836,1000,989.36,1380.8903999999998,98936,1000,
79,3,0,2693.1223015785217,29.453131437301636,173.39563,42.503662,0,79,0.0,0.0,0.05,-5.9914646,0.05,120.0,260.0,160.8,407.36,16080.0,180.0,,810,1000,984.81,1954.5938999999998,98481,1000,
80,25,0,2727.533409833908,29.259364128112793,174.61546,42.569096,0,80,0.0,0.0,0.05,-5.9914646,0.05,20.0,240.0,158.2,752.7600000000003,15820.0,160.0,,512,1000,979.6,4162.699999999999,97960,1000,
81,13,0,2761.36744761467,28.82251739501953,175.82619,42.5407,0,81,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,152.4,702.2399999999997,15240.0,160.0,,789,1000,989.59,1414.0218999999997,98959,1000,
82,20,0,2795.9391231536865,29.4246723651886,177.02727,42.55356,0,82,0.0,0.0,0.05,-5.9914646,0.05,60.0,240.0,156.0,760.0,15600.0,160.0,,733,1000,981.77,2607.7771000000007,98177,1000,
83,20,0,2829.35005736351,28.293010473251343,178.22047,42.50954,0,83,0.0,0.0,0.05,-5.9914646,0.05,20.0,260.0,157.2,960.1599999999999,15720.0,160.0,,566,1000,978.32,4497.2176,97832,1000,
84,83,0,2863.179787635803,28.716963052749634,179.4045,42.52816,0,84,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,153.4,1680.4399999999994,15340.0,120.0,,519,1000,984.71,3222.725899999999,98471,842,
85,71,0,2897.740063428879,29.877470016479492,180.57722,42.579884,0,85,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,147.4,1293.2399999999998,14740.0,120.0,,716,1000,984.71,2166.8858999999993,98471,842,
86,65,0,2931.10138297081,28.56498622894287,181.74005,42.54252,0,86,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,150.6,1899.6399999999994,15060.0,140.0,,422,1000,981.11,5951.557900000001,98111,1000,
87,17,0,2966.475445508957,30.298875093460083,182.89456,42.558147,0,87,0.0,0.0,0.05,-5.9914646,0.05,100.0,240.0,160.2,1139.9599999999998,16020.0,180.0,,842,1000,990.65,1111.8675,99065,1000,
88,15,0,3001.246921300888,29.486262559890747,184.03966,42.57039,0,88,0.0,0.0,0.05,-5.9914646,0.05,20.0,240.0,156.6,1904.44,15660.0,200.0,,845,1000,991.46,983.0083999999999,99146,1000,
89,5,0,3036.307995080948,30.031659603118896,185.17758,42.56251,0,89,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,154.2,1866.3600000000006,15420.0,220.0,,832,1000,991.96,1019.3184,99196,1000,
90,13,0,3070.922911167145,29.590586185455322,186.30855,42.566124,0,90,0.0,0.0,0.05,-5.9914646,0.05,100.0,260.0,149.2,1899.3600000000004,14920.0,200.0,,759,1000,980.7,2726.13,98070,1000,
91,1,0,3105.9271581172943,29.648778200149536,187.43178,42.566925,0,91,0.0,0.0,0.05,-5.9914646,0.05,100.0,240.0,165.0,1531.0,16500.0,260.0,,878,1000,996.94,186.75640000000004,99694,1000,
92,5,0,3139.6096103191376,28.655420303344727,188.54851,42.586662,0,92,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,161.0,2259.0,16100.0,220.0,,536,1000,983.66,3702.0644,98366,1000,
93,3,0,3174.24028301239,29.503577947616577,189.65762,42.57845,0,93,0.0,0.0,0.05,-5.9914646,0.05,100.0,260.0,161.2,1758.56,16120.0,220.0,,841,1000,992.53,803.6291,99253,1000,
94,31,0,3208.603509902954,29.344003677368164,190.7563,42.505222,0,94,0.0,0.0,0.05,-5.9914646,0.05,100.0,260.0,167.8,1871.16,16780.0,180.0,,655,1000,990.96,1663.4184000000002,99096,1000,
95,21,0,3242.7582070827484,29.139501810073853,191.84863,42.53941,0,95,0.0,0.0,0.05,-5.9914646,0.05,100.0,260.0,167.2,2124.16,16720.0,200.0,,652,1000,988.29,2556.3458999999993,98829,1000,
96,87,0,3277.031069755554,29.235037565231323,192.93544,42.57332,0,96,0.0,0.0,0.05,-5.9914646,0.05,40.0,260.0,166.2,1821.56,16620.0,100.0,,406,1000,985.36,4665.130399999999,98536,709,
97,27,0,3311.640061378479,30.092637538909912,194.01305,42.52585,0,97,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,165.0,1731.0,16500.0,180.0,,843,1000,993.32,793.9176000000001,99332,1000,
98,84,0,3346.520725250244,29.790834665298462,195.08461,42.575943,0,98,0.0,0.0,0.05,-5.9914646,0.05,20.0,260.0,168.8,1762.56,16880.0,120.0,,652,1000,984.5,2912.15,98450,837,
99,49,0,3380.716651201248,29.531705856323242,196.14845,42.567745,0,99,0.0,0.0,0.05,-5.9914646,0.05,20.0,240.0,175.8,1810.3600000000006,17580.0,160.0,,694,1000,994.36,1364.1703999999997,99436,1000,
