,unp_rank,param_norm,n_rejected,walltimes,generations,n_reused,workertimes,grad_norm,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
11,7,50.9405,0,441.7439203262329,11,0,27.62657403945923,2.4943056,119.3982925415039,119.39396667480469,0.05020462,-5.981622,0.05000429,-5.991238,0.049851257,-5.998939,0.04998528,-5.9921775,0.049709488,-6.007102,0.049987365,-5.992106,0.049346287,-6.037336,0.0500093,-5.9911737,0.04985449,-5.9981995,0.04999504,-5.991745,1.0,1.0,0.0,200.0,119.4,3163.64,11940.0,160.0,,541,1000,929.53,12369.529100000002,92953,989,
12,6,53.801178,0,478.7921657562256,12,0,27.70488142967224,2.4916608,128.19381713867188,128.19261169433594,0.05021183,-5.981622,0.050004717,-5.991238,0.049844433,-5.998939,0.049984515,-5.9921775,0.049693655,-6.007102,0.04998679,-5.992106,0.049275298,-6.037336,0.050009213,-5.9911737,0.049846765,-5.9981995,0.049994703,-5.991745,1.0,1.0,0.0,200.0,128.2,2888.76,12820.0,160.0,,573,1000,939.32,10899.9176,93932,974,
13,11,56.696747,0,516.583024263382,13,0,28.216423273086548,2.4936953,144.4036407470703,144.40721130371094,0.05022144,-5.981622,0.050004948,-5.991238,0.04983779,-5.998939,0.049983885,-5.9921775,0.049677107,-6.007102,0.049986374,-5.992106,0.04918064,-6.037336,0.050009143,-5.9911737,0.049842462,-5.9981995,0.049994286,-5.991745,1.0,1.0,0.0,200.0,144.4,1788.6399999999994,14440.0,160.0,,481,1000,947.02,10135.519599999998,94702,974,
14,7,59.60338,0,554.2913687229156,14,0,28.303840398788452,2.4940562,142.00103759765625,142.0009307861328,0.050230328,-5.981622,0.050005246,-5.991238,0.04982527,-5.998939,0.049983263,-5.9921775,0.049656726,-6.007102,0.049985956,-5.992106,0.049078032,-6.037336,0.050008737,-5.9911737,0.049839884,-5.9981995,0.049993977,-5.991745,1.0,1.0,0.0,240.0,142.0,2068.0,14200.0,160.0,,735,1000,959.18,4380.8476,95918,978,
15,5,62.504505,0,592.2019877433777,15,0,28.5251944065094,2.4948757,146.40321350097656,146.4065704345703,0.050236292,-5.981622,0.05000541,-5.991238,0.049821384,-5.998939,0.049982738,-5.9921775,0.049639326,-6.007102,0.049985424,-5.992106,0.048993904,-6.037336,0.050008297,-5.9911737,0.049836356,-5.9981995,0.04999368,-5.991745,1.0,1.0,0.0,220.0,146.4,1407.0399999999997,14640.0,160.0,,480,1000,953.41,8133.781900000002,95341,992,
16,5,65.3828,0,630.1176247596741,16,0,28.517704248428345,2.4930072,146.40374755859375,146.40940856933594,0.050241224,-5.981622,0.050005507,-5.991238,0.049817953,-5.998939,0.049982406,-5.9921775,0.04962483,-6.007102,0.049984753,-5.992106,0.04892193,-6.037336,0.050007544,-5.9911737,0.04983499,-5.9981995,0.049993325,-5.991745,1.0,1.0,0.0,200.0,146.4,1143.0400000000002,14640.0,160.0,,480,1000,957.62,6912.0556,95762,986,
17,7,68.22861,0,669.2870781421661,17,0,29.48105502128601,2.495457,152.1963653564453,152.19448852539062,0.050246663,-5.980967,0.050005663,-5.9910917,0.049813487,-5.998138,0.04998218,-5.9921374,0.04961059,-6.0098443,0.049983967,-5.992323,0.04886627,-6.038603,0.05000727,-5.9919004,0.049831912,-5.9981527,0.04999299,-5.9918604,1.0,1.0,0.0,200.0,152.2,999.16,15220.0,160.0,,650,1000,975.12,1891.9056,97512,991,
18,6,71.03184,0,707.5391297340393,18,0,28.93236756324768,2.4939823,149.79568481445312,149.79209899902344,0.050252393,-5.980967,0.050005734,-5.9910917,0.049811717,-5.998138,0.049981833,-5.9921374,0.049601812,-6.0098443,0.049983263,-5.992323,0.04883731,-6.038603,0.050007198,-5.9919004,0.049828976,-5.9981527,0.049992703,-5.9918604,1.0,1.0,0.0,200.0,149.8,1219.96,14980.0,160.0,,465,1000,971.35,3799.8075,97135,995,
19,7,73.78904,0,746.018137216568,19,0,29.08713674545288,2.4958618,150.8016357421875,150.80169677734375,0.050257746,-5.980967,0.050005794,-5.9910917,0.04981125,-5.998138,0.049981702,-5.9921374,0.049588356,-6.0098443,0.049982563,-5.992323,0.048793018,-6.038603,0.050006542,-5.9919004,0.049829226,-5.9981527,0.049992535,-5.9918604,1.0,1.0,0.0,220.0,150.8,1011.36,15080.0,160.0,,746,1000,968.95,2955.8875,96895,970,
20,10,76.49262,0,784.5210890769958,20,0,28.957582712173462,2.4945102,148.2042236328125,148.20938110351562,0.050263237,-5.980967,0.050006006,-5.9910917,0.049814627,-5.998138,0.04998155,-5.9921374,0.04958091,-6.0098443,0.04998182,-5.992323,0.048740257,-6.038603,0.050005946,-5.9919004,0.04982869,-5.9981527,0.049992323,-5.9918604,1.0,1.0,0.0,220.0,148.2,1296.7600000000002,14820.0,160.0,,648,1000,973.69,2553.4939,97369,982,
21,8,79.13996,0,823.0835711956024,21,0,29.241527557373047,2.496713,150.5983428955078,150.59800720214844,0.05026787,-5.980967,0.05000615,-5.9910917,0.049817465,-5.998138,0.04998175,-5.9921374,0.049572445,-6.0098443,0.04998119,-5.992323,0.048730228,-6.038603,0.050005626,-5.9919004,0.049828917,-5.9981527,0.049992166,-5.9918604,1.0,1.0,0.0,220.0,150.6,859.64,15060.0,160.0,,729,1000,964.11,3500.1979000000006,96411,981,
22,11,81.72864,0,862.4659488201141,22,0,29.96361017227173,2.4938128,150.80091857910156,150.80108642578125,0.050272238,-5.980967,0.05000646,-5.9910917,0.049821574,-5.998138,0.049982086,-5.9921374,0.049563594,-6.0098443,0.049980868,-5.992323,0.04871963,-6.038603,0.05000547,-5.9919004,0.049829844,-5.9981527,0.04999194,-5.9918604,1.0,1.0,0.0,200.0,150.8,995.36,15080.0,160.0,,573,1000,977.83,2805.2611000000006,97783,990,
23,13,84.25607,0,900.812109708786,23,0,28.842046976089478,2.4964983,154.20179748535156,154.20176696777344,0.0502762,-5.980967,0.0500067,-5.9910917,0.04982323,-5.998138,0.049982455,-5.9921374,0.04955895,-6.0098443,0.049980726,-5.992323,0.048694074,-6.038603,0.0500053,-5.9919004,0.049832873,-5.9981527,0.049991738,-5.9918604,1.0,1.0,0.0,220.0,154.2,1066.36,15420.0,160.0,,524,1000,971.74,3460.5324000000005,97174,969,
24,14,86.72334,0,938.5720465183258,24,0,28.433413982391357,2.4931138,151.4025115966797,151.40646362304688,0.050277352,-5.980967,0.05000683,-5.9910917,0.049820352,-5.998138,0.049982656,-5.9921374,0.049557425,-6.0098443,0.04998038,-5.992323,0.048665464,-6.038603,0.05000447,-5.9919004,0.049835864,-5.9981527,0.04999156,-5.9918604,1.0,1.0,0.0,220.0,151.4,1282.0400000000002,15140.0,160.0,,469,1000,969.45,4319.0475,96945,981,
25,10,89.12518,0,976.0316731929779,25,0,28.094479084014893,2.4980028,148.80577087402344,148.8123779296875,0.050276525,-5.980967,0.050007034,-5.9910917,0.049819484,-5.998138,0.049982764,-5.9921374,0.049551614,-6.0098443,0.049979918,-5.992323,0.048640445,-6.038603,0.050003015,-5.9919004,0.049838696,-5.9981527,0.049991354,-5.9918604,1.0,1.0,60.0,200.0,148.8,762.56,14880.0,160.0,,691,1000,964.26,4375.812399999999,96426,982,
26,13,91.46302,0,1014.1194581985474,26,0,28.698617935180664,2.4970894,145.5991973876953,145.60006713867188,0.050273784,-5.980967,0.050007187,-5.9910917,0.049819402,-5.998138,0.049982704,-5.9921374,0.04954743,-6.0098443,0.049979556,-5.992323,0.0486362,-6.038603,0.050001558,-5.9919004,0.04984125,-5.9981527,0.0499912,-5.9918604,1.0,1.0,0.0,220.0,145.6,1504.6399999999994,14560.0,160.0,,649,1000,965.03,3969.0091,96503,991,
27,13,93.73956,0,1051.344866514206,27,0,27.83861017227173,2.4951818,151.60438537597656,151.60861206054688,0.050271563,-5.980967,0.050007533,-5.9910917,0.049817856,-5.998138,0.049982548,-5.9921374,0.049542185,-6.0098443,0.049979392,-5.992323,0.048653528,-6.038603,0.050000176,-5.9919004,0.049843255,-5.9981527,0.049991056,-5.9918604,1.0,1.0,60.0,200.0,151.6,777.44,15160.0,160.0,,642,1000,968.25,4910.5675,96825,980,
28,1,95.95574,0,1089.5315124988556,28,0,28.809659242630005,2.4956663,145.39939880371094,145.39927673339844,0.050269168,-5.980967,0.05000795,-5.9910917,0.049818132,-5.998138,0.049982373,-5.9921374,0.049541287,-6.0098443,0.049979188,-5.992323,0.04869497,-6.038603,0.0499984,-5.9919004,0.04984371,-5.9981527,0.049990904,-5.9918604,1.0,1.0,0.0,200.0,145.4,1206.84,14540.0,200.0,,628,1000,970.92,4007.8736,97092,1000,
29,16,98.112946,0,1126.9836974143982,29,0,28.05493664741516,2.4938087,144.8039093017578,144.810546875,0.05026572,-5.980967,0.050008297,-5.9910917,0.04981939,-5.998138,0.049982477,-5.9921374,0.049542006,-6.0098443,0.04997888,-5.992323,0.0487206,-6.038603,0.0499966,-5.9919004,0.049841914,-5.9981527,0.049990714,-5.9918604,1.0,1.0,0.0,200.0,144.8,1960.9600000000005,14480.0,160.0,,617,1000,965.03,5436.6691,96503,1000,
30,15,100.20959,0,1164.4006369113922,30,0,28.015158653259277,2.4951355,147.80355834960938,147.8070068359375,0.05026357,-5.980967,0.050008472,-5.9910917,0.04982269,-5.998138,0.049982563,-5.9921374,0.04954182,-6.0098443,0.04997859,-5.992323,0.048742395,-6.038603,0.04999472,-5.9919004,0.049841914,-5.9981527,0.049990498,-5.9918604,1.0,1.0,0.0,200.0,147.8,1583.16,14780.0,160.0,,449,1000,954.42,8974.363599999997,95442,1000,
31,17,102.24603,0,1203.2677297592163,31,0,28.81986355781555,2.4957683,142.6004638671875,142.5980224609375,0.050261043,-5.980967,0.050008703,-5.9910917,0.049829178,-5.998138,0.049982775,-5.9921374,0.04954189,-6.0098443,0.04997851,-5.992323,0.048765175,-6.038603,0.049992442,-5.9919004,0.049841773,-5.9981527,0.04999033,-5.9918604,1.0,1.0,0.0,240.0,142.6,1861.2400000000007,14260.0,160.0,,701,1000,966.29,5004.365900000001,96629,1000,
32,17,104.22329,0,1242.4449996948242,32,0,29.670709371566772,2.498156,152.1986083984375,152.19873046875,0.050261136,-5.980967,0.050009083,-5.9910917,0.049830567,-5.998138,0.049983025,-5.9921374,0.049542185,-6.0098443,0.04997839,-5.992323,0.048792925,-6.038603,0.049990736,-5.9919004,0.049839325,-5.9981527,0.049990226,-5.9918604,1.0,1.0,0.0,240.0,152.2,1263.16,15220.0,160.0,,536,1000,982.67,3147.5411,98267,1000,
33,9,106.14371,0,1280.8825454711914,33,0,28.72970700263977,2.4975517,139.99085998535156,139.98501586914062,0.05026313,-5.979487,0.05000932,-5.991059,0.049833443,-6.001601,0.04998318,-5.991989,0.049542613,-6.0135236,0.049978543,-5.9920845,0.048835322,-6.022103,0.049989104,-5.992799,0.049833074,-5.9965878,0.049990106,-5.9919734,1.0,1.0,0.0,200.0,140.0,1864.0,14000.0,160.0,,611,1000,965.57,5566.5851,96557,1000,
