,workertimes,walltimes,n_rejected,grad_norm,unp_rank,generations,param_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
21,27.106916904449463,816.5525822639465,0,2.4951298,10,21,32.063065,0,67.00081634521484,66.99738311767578,0.049926404,-5.9951253,0.05,0.05,0.0,220.0,67.0,4699.0,6700.0,160.0,,443,1000,922.94,16962.816399999996,92294,971,
22,27.518173933029175,853.363299369812,0,2.410413,5,22,32.065994,0,57.19712829589844,57.19706344604492,0.049927406,-5.9951253,0.05,0.05,0.0,240.0,57.2,4144.160000000001,5720.0,160.0,,552,1000,929.32,14573.7376,92932,990,
23,27.755709886550903,890.5449142456055,0,2.4393392,7,23,32.06922,0,64.59715270996094,64.58905029296875,0.04992706,-5.9951253,0.05,0.05,0.0,220.0,64.6,4622.839999999999,6460.0,160.0,,538,1000,940.47,14075.909099999995,94047,979,
24,27.287604331970215,927.1395072937012,0,2.4665947,5,24,32.072796,0,64.00471496582031,64.0097427368164,0.04992593,-5.9951253,0.05,0.05,0.0,220.0,64.0,4392.0,6400.0,160.0,,505,1000,930.04,13942.838399999999,93004,976,
25,27.902824640274048,964.3346650600433,0,2.49388,4,25,32.0767,0,65.99285888671875,65.98489379882812,0.049925715,-5.9951253,0.05,0.05,0.0,240.0,66.0,4100.0,6600.0,160.0,,445,1000,914.97,16563.7291,91497,968,
26,27.56564474105835,1001.1862390041351,0,2.493117,6,26,32.080986,0,64.99691009521484,64.99445343017578,0.0499248,-5.9951253,0.05,0.05,0.0,220.0,65.0,4331.0,6500.0,160.0,,606,1000,944.42,10121.6636,94442,981,
27,26.889041662216187,1037.4772160053253,0,2.361979,2,27,32.08566,0,51.39675521850586,51.39527130126953,0.049923882,-5.9951253,0.05,0.05,0.0,240.0,51.4,3714.04,5140.0,160.0,,643,1000,923.34,14312.0244,92334,1000,
28,27.418876886367798,1074.2131912708282,0,2.4939954,3,28,32.090622,0,67.79934692382812,67.80558013916016,0.04992175,-5.9951253,0.05,0.05,0.0,220.0,67.8,3911.16,6780.0,160.0,,652,1000,929.01,13322.0299,92901,981,
29,27.104072332382202,1110.7323021888733,0,2.4664104,3,29,32.09587,0,62.58821487426758,62.57942581176758,0.049920656,-5.9951253,0.05,0.05,0.0,180.0,62.6,3853.240000000001,6260.0,160.0,,511,1000,927.8,13356.880000000003,92780,968,
30,26.973240852355957,1147.185251712799,0,2.3885624,4,30,32.1013,0,62.404449462890625,62.40957260131836,0.04991736,-5.9951253,0.05,0.05,0.0,220.0,62.4,4394.24,6240.0,160.0,,389,1000,928.53,16433.989100000003,92853,995,
31,27.033835411071777,1183.5551714897156,0,2.4941175,4,31,32.106785,0,71.99443817138672,71.99111938476562,0.04991443,-5.9951253,0.05,0.05,0.0,260.0,72.0,4480.0,7200.0,160.0,,492,1000,906.86,18669.240400000002,90686,983,
32,27.567198991775513,1220.4340605735779,0,2.387819,2,32,32.112392,0,64.80096435546875,64.80220031738281,0.049911696,-5.9951253,0.05,0.05,0.0,180.0,64.8,4488.96,6480.0,160.0,,542,1000,944.99,11713.789899999998,94499,973,
33,27.77123260498047,1257.6514077186584,0,2.4938717,6,33,32.11805,0,71.1890869140625,71.1816635131836,0.04991023,-5.9951253,0.05,0.05,0.0,220.0,71.2,4770.560000000001,7120.0,160.0,,455,1000,939.97,12833.609100000001,93997,984,
34,28.66264533996582,1295.9270210266113,0,2.494714,8,34,32.12376,0,78.79048156738281,78.77924346923828,0.049908563,-5.997287,0.05,0.05,0.0,200.0,78.8,4598.56,7880.0,160.0,,626,1000,944.96,10250.058399999998,94496,978,
35,28.596284866333008,1333.8400466442108,0,2.494877,6,35,32.12965,0,66.99446105957031,66.98260498046875,0.049907103,-5.997287,0.05,0.05,0.0,220.0,67.0,4875.0,6700.0,160.0,,486,1000,951.41,10524.661899999997,95141,979,
36,27.369446992874146,1370.6630868911743,0,2.495123,6,36,32.13572,0,74.78986358642578,74.77632141113281,0.04990345,-5.997287,0.05,0.05,0.0,240.0,74.8,4900.96,7480.0,160.0,,479,1000,927.41,14825.761900000001,92741,981,
37,27.207875967025757,1407.1598858833313,0,2.289883,7,37,32.14183,0,80.19597625732422,80.19347381591797,0.049898643,-5.997287,0.05,0.05,0.0,240.0,80.2,5195.959999999999,8020.0,160.0,,557,1000,936.42,12352.583599999998,93642,979,
38,28.144193172454834,1444.619793176651,0,2.4655955,9,38,32.147995,0,83.00785064697266,83.01152801513672,0.049893383,-5.997287,0.05,0.05,0.0,260.0,83.0,5451.0,8300.0,160.0,,623,1000,955.67,7880.821099999998,95567,983,
39,27.249870538711548,1481.1653981208801,0,2.4412847,7,39,32.154263,0,90.60063171386719,90.6051025390625,0.049889233,-5.997287,0.05,0.05,0.0,240.0,90.6,4595.64,9060.0,160.0,,621,1000,935.53,11557.629099999998,93553,978,
40,27.94081401824951,1518.4050443172455,0,2.4943702,5,40,32.16062,0,73.21050262451172,73.21818542480469,0.049885556,-5.997287,0.05,0.05,0.0,220.0,73.2,4489.759999999999,7320.0,160.0,,459,1000,931.36,13133.850399999998,93136,983,
41,25.721458435058594,1553.546926498413,0,2.4955838,6,41,32.16688,0,78.18336486816406,78.16664123535156,0.049881525,-5.997287,0.05,0.05,0.0,200.0,78.2,4840.759999999998,7820.0,160.0,,407,1000,921.07,15531.585100000002,92107,977,
42,27.846487998962402,1590.8757314682007,0,2.44089,12,42,32.17326,0,87.60879516601562,87.61660766601562,0.049875498,-5.997287,0.05,0.05,0.0,260.0,87.6,5526.240000000002,8760.0,160.0,,414,1000,944.87,11945.193099999999,94487,978,
43,28.599804162979126,1628.9954884052277,0,2.4392796,8,43,32.179817,0,85.4029541015625,85.4050521850586,0.04987175,-5.997287,0.05,0.05,0.0,220.0,85.4,5062.839999999999,8540.0,160.0,,646,1000,954.01,7539.289900000001,95401,984,
44,28.483299016952515,1666.9637780189514,0,2.4949648,9,44,32.186615,0,99.99191284179688,99.98660278320312,0.04986765,-5.997287,0.05,0.05,0.0,260.0,100.0,5040.0,10000.0,160.0,,511,1000,955.96,7470.078400000001,95596,987,
45,27.53520131111145,1703.956468820572,0,2.3877323,9,45,32.193405,0,86.20276641845703,86.20573425292969,0.049864013,-5.997287,0.05,0.05,0.0,200.0,86.2,4869.56,8620.0,160.0,,589,1000,931.41,12680.1619,93141,969,
46,27.572213888168335,1740.9485681056976,0,2.4662867,8,46,32.200256,0,87.40665435791016,87.41423034667969,0.04986079,-5.997287,0.05,0.05,0.0,220.0,87.4,4789.240000000002,8740.0,160.0,,660,1000,943.65,8838.8675,94365,980,
47,27.356948137283325,1777.9018485546112,0,2.4945433,6,47,32.207226,0,77.4007339477539,77.40738677978516,0.049859446,-5.997287,0.05,0.05,0.0,220.0,77.4,4949.240000000002,7740.0,160.0,,603,1000,937.83,12236.621100000004,93783,976,
48,28.03378391265869,1815.392956495285,0,2.4947298,10,48,32.21424,0,96.58749389648438,96.5728530883789,0.049858402,-5.997287,0.05,0.05,0.0,220.0,96.6,4800.439999999999,9660.0,160.0,,579,1000,949.21,9504.0659,94921,988,
49,28.34198546409607,1853.2141382694244,0,2.494031,7,49,32.22127,0,88.2119140625,88.22676849365234,0.049855772,-5.997287,0.05,0.05,0.0,200.0,88.2,4808.759999999998,8820.0,160.0,,563,1000,954.3,9210.73,95430,982,
50,27.900416135787964,1890.411865234375,0,2.4933622,7,50,32.228443,0,92.99635314941406,92.98900604248047,0.049855735,-5.997287,0.05,0.05,0.0,220.0,93.0,4475.0,9300.0,160.0,,473,1000,929.8,12783.620000000003,92980,982,
51,28.11189341545105,1928.1993446350098,0,2.494899,3,51,32.235756,0,88.20689392089844,88.209228515625,0.049854655,-5.996615,0.05,0.05,0.0,220.0,88.2,4456.759999999998,8820.0,160.0,,519,1000,940.38,9840.5556,94038,977,
52,28.57298970222473,1966.0598967075348,0,2.4943385,4,52,32.243057,0,93.22459411621094,93.24832153320312,0.049854536,-5.996615,0.05,0.05,0.0,180.0,93.2,4441.759999999998,9320.0,160.0,,730,1000,958.45,6534.907499999998,95845,999,
