,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta_avg,beta_max,beta_med,beta_min,beta_std,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma_avg,sigma_max,sigma_med,sigma_min,sigma_std,unp_rank,walltimes,workertimes
0,0.09832,0.17,0.046,9.832,0.106,0.1077,0.0005355176,-5.99146451730566,-5.99146451730566,-5.99146451730566,-5.99146451730566,0.009599986910065637,0,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,10000.0,0.0,-2.7079217433929443,-2.5011630058288574,-2.911297082901001,-270.79217529296875,-2.6195240020751953,-2.590163230895996,0.007126272190362215,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,13,9.000852584838867,6.313716888427734
1,0.09898,0.156,0.057,9.898,0.106,,0.0003397196,-5.991441053391134,-5.892107007745795,-5.991836931989368,-6.1296501799893255,0.013688689557305884,1,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6988525390625,-2.5025203227996826,-2.9020752906799316,-269.88525390625,-2.590285539627075,,0.00858946330845356,0.050000587346370924,0.0525466725230217,0.0499906912446022,0.04666200280189514,0.00024023113337177037,11,16.308114290237427,4.627832651138306
2,0.10347,0.17,0.059,10.347000000000001,0.115,,0.0005352291,-5.991417106721823,-5.719429050038689,-5.991936194665929,-6.130597094993045,0.016536812485253474,2,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6790659427642822,-2.4086380004882812,-2.9230387210845947,-267.9065856933594,-2.545612335205078,,0.009732777252793312,0.050001186023720286,0.057285111397504807,0.04998821020126343,0.04663991555571556,0.00034359029504901783,8,23.758436679840088,4.769232988357544
3,0.11266,0.166,0.069,11.266,0.13,,0.0004841643999999999,-5.991395969970004,-5.647796182376194,-5.991985827851722,-6.154489930883077,0.01923626878146126,3,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.625375270843506,-2.3838701248168945,-2.8507978916168213,-262.53753662109375,-2.491384744644165,,0.00904459971934557,0.05000171445784243,0.059374045580625534,0.04998696967959404,0.04608605057001114,0.00041497991594456184,9,31.131425619125366,4.679411888122559
4,0.11166000000000002,0.19,0.063,11.166000000000002,0.145,,0.0005177244000000001,-5.991372226933923,-5.7244752892651105,-5.991962427067118,-6.282250857198983,0.021268775345094644,4,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6029694080352783,-2.4158997535705566,-2.8589701652526855,-260.29693603515625,-2.402184009552002,,0.010772595182061195,0.05000230805762112,0.05714075639843941,0.0499875545501709,0.04323411360383034,0.000481644063350922,1,38.560500621795654,4.727444887161255
5,0.12315000000000001,0.185,0.071,12.315000000000001,0.142,,0.0006745874999999999,-5.991352199206349,-5.754229500558144,-5.99200296872755,-6.4528747327965785,0.02345601882730013,5,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.550455093383789,-2.3363702297210693,-2.765409469604492,-255.04551696777344,-2.3875315189361572,,0.009118941612541676,0.05000280877643011,0.05629695951938629,0.04998654127120972,0.039698679000139236,0.0005316351861688552,5,45.988290786743164,4.730336904525757
6,0.13118,0.202,0.073,13.118,0.187,,0.0007385276,-5.99133017113543,-5.737302767567255,-5.991937536087187,-6.4161486690277725,0.025383316268241158,6,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.504460334777832,-2.2394375801086426,-2.67861008644104,-250.44602966308594,-2.3213353157043457,,0.007267618551850319,0.05000335951217196,0.05677544325590134,0.04998817667365074,0.040434401482343674,0.0005869608891359222,2,53.451313972473145,4.76089334487915
7,0.14775,0.223,0.094,14.774999999999999,0.216,,0.0008408875000000001,-5.991307552244693,-5.732019389205052,-5.991901318028989,-6.438528009337632,0.027002595793291805,7,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.4495131969451904,-2.2467644214630127,-2.6394202709198,-244.95130920410156,-2.2324118614196777,,0.006061301100999117,0.05000392502563244,0.05692562460899353,0.04998908191919327,0.03998447582125664,0.0006352588112317176,1,60.860790491104126,4.702565431594849
8,0.16499,0.245,0.113,16.499,0.242,,0.0009396499,-5.991287498162171,-5.6880841844625625,-5.991976735794607,-6.430447089581626,0.02846255700455596,8,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.3908185958862305,-2.162015914916992,-2.6012895107269287,-239.0818634033203,-2.1788125038146973,,0.007100898772478104,0.05000442641956562,0.05818998068571091,0.049987196922302246,0.0401463583111763,0.000676227137822173,2,68.40667867660522,4.836930751800537
9,0.17766,0.25,0.111,17.766000000000002,0.251,,0.0009731644,-5.991266750110938,-5.628073691896134,-5.991915775364516,-6.398086427050319,0.02999267440320816,9,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.3357346057891846,-2.1552839279174805,-2.5315444469451904,-233.57345581054688,-2.10776948928833,,0.006507688667625189,0.05000494516945698,0.0599624440073967,0.04998872056603432,0.04080122336745262,0.0007134699306565586,1,75.82735347747803,4.706399917602539
