,walltimes,unp_rank,generations,n_reused,n_rejected,grad_norm,workertimes,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
16,57.25938653945923,1,16,0,0,0.24520656,2.991266965866089,14.072229,0.0,0.0,0.05,-5.9914646,1.0,-2.1442792415618896,-1.8365178108215332,-1.9781674146652222,0.004603583365678787,-197.81674194335938,-1.706801,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
17,60.58055114746094,1,17,0,0,0.2432334,3.153498411178589,14.1039295,0.0,0.0,0.05,-5.9914646,1.0,-2.0986838340759277,-1.7907215356826782,-1.9343676567077637,0.004018781706690788,-193.436767578125,-1.6648294,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
18,64.29562640190125,1,18,0,0,0.24375391,3.5426042079925537,14.137857,0.0,0.0,0.05,-5.9914646,1.0,-2.076716899871826,-1.7612385749816895,-1.9069479703903198,0.004341063089668751,-190.69479370117188,-1.6601794,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
19,67.66373372077942,1,19,0,0,0.24137007,3.194363832473755,14.175533,0.0,0.0,0.05,-5.9914646,1.0,-2.0165998935699463,-1.6847702264785767,-1.8643181324005127,0.003910923842340708,-186.4318084716797,-1.5839702,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
20,70.87707161903381,1,20,0,0,0.24299552,3.0391838550567627,14.219303,0.0,0.0,0.05,-5.9914646,1.0,-1.9669455289840698,-1.7054712772369385,-1.8405201435089111,0.0028631349559873343,-184.05201721191406,-1.5972394,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
21,74.19741678237915,1,21,0,0,0.24379784,3.1470260620117188,14.268824,0.0,0.0,0.05,-5.9914646,1.0,-1.9059172868728638,-1.6150628328323364,-1.7905219793319702,0.002936725039035082,-179.0522003173828,-1.5461949,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
22,77.59724020957947,1,22,0,0,0.24367476,3.22653865814209,14.322651,0.0,0.0,0.05,-5.9914646,1.0,-1.8927364349365234,-1.638569951057434,-1.7709441184997559,0.003042924450710416,-177.0944061279297,-1.5540552,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
23,80.87850499153137,1,23,0,0,0.2432492,3.1070704460144043,14.378447,0.0,0.0,0.05,-5.9914646,1.0,-1.862727403640747,-1.6400269269943237,-1.7469922304153442,0.0022497903555631638,-174.69921875,-1.4937049,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
24,84.1609537601471,1,24,0,0,0.24106595,3.107253313064575,14.435586,0.0,0.0,0.05,-5.9914646,1.0,-1.8481074571609497,-1.6269207000732422,-1.72636079788208,0.0022516422905027866,-172.63607788085938,-1.4874415,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
25,90.07432651519775,1,25,0,0,0.24435519,5.73722243309021,14.493242,0.0,0.0,0.05,-5.9914646,1.0,-1.825028419494629,-1.5852110385894775,-1.6918777227401733,0.0024316227063536644,-169.18777465820312,-1.4773533,-1.4415661,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
26,93.43131279945374,1,26,0,0,0.24451172,3.1818606853485107,14.549515,0.0,0.0,0.05,-5.9914646,1.0,-1.792751669883728,-1.5669828653335571,-1.6770005226135254,0.0027607616502791643,-167.70005798339844,-1.4091773,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
