,n_reused,param_norm,unp_rank,workertimes,generations,walltimes,n_rejected,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
66,0,22.69645,1,3.3655874729156494,66,234.285573720932,0,4.8497686,0.0,0.0,0.05,-5.9914646,0.05,-0.7387694716453552,-0.5900251269340515,-0.6748363971710205,0.0009875643299892545,-67.483642578125,-0.5431273,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
67,0,22.825342,1,3.453425884246826,67,237.9065878391266,0,4.8765225,0.0,0.0,0.05,-5.9914646,0.05,-0.7507168054580688,-0.5844668745994568,-0.6676363348960876,0.0009393052896484733,-66.76363372802734,-0.5649183,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
68,0,22.95433,1,3.3369319438934326,68,241.41200351715088,0,4.856309,0.0,0.0,0.05,-5.9914646,0.05,-0.7400140166282654,-0.5822572112083435,-0.6581099033355713,0.0008701733313500881,-65.81098937988281,-0.5516906,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
69,0,23.079899,1,3.209463119506836,69,244.78863430023193,0,4.8862715,0.0,0.0,0.05,-5.9914646,0.05,-0.7535108923912048,-0.5809403657913208,-0.648531436920166,0.0011466139694675803,-64.85314178466797,-0.5476631,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
70,0,23.202215,1,3.363152265548706,70,248.3253195285797,0,4.8727756,0.0,0.0,0.05,-5.9914646,0.05,-0.7253875136375427,-0.5451101064682007,-0.6371553540229797,0.0009924308396875858,-63.715538024902344,-0.5226149,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
71,0,23.325949,1,3.9240176677703857,71,252.41863179206848,0,4.8571725,0.0,0.0,0.05,-5.9914646,0.05,-0.6875303387641907,-0.5637339949607849,-0.6249378323554993,0.0008221538155339658,-62.4937858581543,-0.51491034,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
72,0,23.44745,2,3.2223095893859863,72,255.80919814109802,0,4.9005303,0.0,0.0,0.05,-5.9914646,0.05,-0.7035470604896545,-0.5224528908729553,-0.6206682920455933,0.0010950674768537283,-62.066829681396484,-0.5316792,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
73,0,23.568132,1,3.365093231201172,73,259.3380711078644,0,4.8448467,0.0,0.0,0.05,-5.9914646,0.05,-0.6782952547073364,-0.5378318428993225,-0.6072726249694824,0.0007754108519293368,-60.72726058959961,-0.5350776,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
74,0,23.690619,2,3.4903221130371094,74,262.99742817878723,0,4.8595757,0.0,0.0,0.05,-5.9914646,0.05,-0.688990592956543,-0.5021038055419922,-0.6015356183052063,0.001044510048814118,-60.153564453125,-0.50913507,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
75,0,23.814337,1,6.127156734466553,75,269.30189418792725,0,4.84772,0.0,0.0,0.05,-5.9914646,0.05,-0.652612566947937,-0.5010937452316284,-0.5889288783073425,0.0007522248197346926,-58.892887115478516,-0.49099535,-0.46059483,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
