,n_rejected,unp_rank,generations,workertimes,param_norm,walltimes,grad_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
23,0,9,23,28.18701434135437,89.119705,844.3958156108856,49.857113,0,151.39759826660156,0.0,0.05,-5.9914646,0.05,0.0,220.0,151.4,1226.04,15140.0,160.0,,529,1000,960.72,5375.861599999999,96072,976,
24,0,10,24,28.79743504524231,91.997734,880.2961146831512,49.900368,0,157.39862060546875,0.0,0.05,-5.9914646,0.05,80.0,220.0,157.4,485.24,15740.0,160.0,,656,1000,970.3,3290.55,97030,985,
25,0,11,25,28.632711172103882,94.830215,916.3263297080994,49.884117,0,153.00083923339844,0.0,0.05,-5.9914646,0.05,40.0,220.0,153.0,787.0,15300.0,160.0,,531,1000,960.9,6589.510000000001,96090,986,
26,0,12,26,29.218152046203613,97.621346,952.9193797111511,49.90042,0,153.59848022460938,0.0,0.05,-5.9914646,0.05,60.0,200.0,153.6,639.04,15360.0,160.0,,641,1000,963.33,5227.9011,96333,991,
27,0,5,27,28.95641827583313,100.371994,989.0993158817291,49.843357,0,142.79769897460938,0.0,0.05,-5.9914646,0.05,0.0,200.0,142.8,1280.1599999999999,14280.0,160.0,,652,1000,953.86,7235.9204,95386,981,
28,0,5,28,28.11187195777893,103.08006,1024.3144409656525,49.89303,0,144.99853515625,0.0,0.05,-5.9914646,0.05,0.0,220.0,145.0,1267.0,14500.0,160.0,,645,1000,958.67,6423.6211,95867,1000,
29,0,76,29,28.75940442085266,105.745384,1060.21817612648,49.840733,0,149.80081176757812,0.0,0.05,-5.9914646,0.05,40.0,200.0,149.8,819.9599999999997,14980.0,140.0,,650,1000,963.77,5681.2971,96377,1000,
30,0,5,30,29.23015260696411,108.37183,1096.5987672805786,49.888817,0,145.999267578125,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.0,1524.0,14600.0,180.0,,644,1000,962.11,5842.757899999998,96211,1000,
31,0,5,31,28.462808847427368,110.953636,1132.210434436798,49.83685,0,141.60003662109375,0.0,0.05,-5.9914646,0.05,0.0,180.0,141.6,1317.44,14160.0,160.0,,640,1000,949.4,7208.939999999998,94940,1000,
32,0,9,32,28.35401487350464,113.49796,1167.7129979133606,49.848972,0,148.00538635253906,0.0,0.05,-5.9914646,0.05,0.0,200.0,148.0,1256.0,14800.0,160.0,,643,1000,963.24,5739.0824,96324,1000,
33,0,4,33,28.67641806602478,116.005165,1203.565813779831,49.917324,0,148.40638732910156,0.0,0.05,-5.9914646,0.05,0.0,220.0,148.4,1201.44,14840.0,180.0,,460,1000,954.55,10016.7475,95455,1000,
34,0,11,34,28.880977392196655,118.47486,1239.6793093681335,49.885975,0,151.0054473876953,0.0,0.05,-5.9914646,0.05,0.0,200.0,151.0,963.0,15100.0,160.0,,400,1000,975.22,5454.3516,97522,1000,
35,0,13,35,29.30324673652649,120.905,1276.4194383621216,49.949932,0,149.80172729492188,0.0,0.05,-5.9914646,0.05,0.0,200.0,149.8,1363.9600000000005,14980.0,160.0,,472,1000,967.65,5268.2675,96765,1000,
36,0,74,36,28.863831043243408,123.29583,1312.5502727031708,49.913,0,147.0010223388672,0.0,0.05,-5.9914646,0.05,0.0,220.0,147.0,1515.0,14700.0,140.0,,737,1000,966.54,3495.8884000000007,96654,874,
37,0,17,37,29.087465286254883,125.64822,1348.5053882598877,49.86099,0,158.1994171142578,0.0,0.05,-5.9914646,0.05,20.0,240.0,158.2,784.7600000000003,15820.0,160.0,,646,1000,971.94,3859.8764,97194,1000,
38,0,6,38,29.140960454940796,127.964455,1384.8991906642914,49.8905,0,151.9969940185547,0.0,0.05,-5.9914646,0.05,0.0,220.0,152.0,656.0,15200.0,160.0,,554,1000,971.32,4758.3776,97132,1000,
39,0,3,39,28.587995529174805,130.24196,1420.630497932434,49.857185,0,137.79359436035156,0.0,0.05,-5.9914646,0.05,0.0,220.0,137.8,2135.16,13780.0,200.0,,368,1000,950.06,8939.3564,95006,1000,
40,0,2,40,29.09041166305542,132.48996,1457.011339187622,49.871307,0,146.80441284179688,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.8,1497.7599999999993,14680.0,200.0,,531,1000,958.85,6775.1275,95885,1000,
41,0,9,41,27.99639081954956,134.70648,1492.2301580905914,49.854908,0,146.59811401367188,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.6,1320.44,14660.0,160.0,,566,1000,952.32,8635.557600000002,95232,977,
