,generations,walltimes,n_reused,unp_rank,workertimes,n_rejected,param_norm,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
245,245,8290.239256858826,0,48,29.152958869934082,0,149.97046,2.1313388,0.0,0.0,0.05,-5.9914646,1.0,60.0,260.0,168.6,1898.0399999999995,16860.0,160.0,,718,1000,974.0,3794.86,97400,869,
246,246,8324.316570043564,0,8,29.348365306854248,0,149.97392,2.1317265,0.0,0.0,0.05,-5.9914646,1.0,100.0,280.0,168.2,1944.76,16820.0,220.0,,706,1000,985.57,2122.6651,98557,1000,
247,247,8358.434156417847,0,30,29.09191870689392,0,149.97925,2.135614,0.0,0.0,0.05,-5.9914646,1.0,60.0,240.0,163.4,1840.44,16340.0,180.0,,569,1000,977.2,4237.9800000000005,97720,1000,
248,248,8393.39427447319,0,3,29.952388525009155,0,149.98508,2.13374,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,174.8,1740.9600000000003,17480.0,240.0,,891,1000,996.34,220.8644,99634,1000,
249,249,8427.197258472443,0,19,28.78878951072693,0,149.99028,2.1338603,0.0,0.0,0.05,-5.9914646,1.0,60.0,260.0,165.6,2048.64,16560.0,200.0,,524,1000,986.78,3159.5516,98678,1000,
250,250,8460.951593875885,0,20,28.736323833465576,0,149.99507,2.132894,0.0,0.0,0.05,-5.9914646,1.0,60.0,280.0,174.2,1674.3600000000004,17420.0,200.0,,606,1000,985.27,2721.3370999999997,98527,1000,
251,251,8495.35820055008,0,11,29.37123465538025,0,149.99919,2.1336405,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,171.6,2081.44,17160.0,220.0,,783,1000,982.1,1950.5500000000006,98210,958,
252,252,8529.623762369156,0,10,29.33052158355713,0,150.00502,2.1338139,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,170.2,1707.9600000000005,17020.0,220.0,,757,1000,989.68,1390.8775999999998,98968,1000,
253,253,8563.305247545242,0,1,28.653578281402588,0,150.01369,2.1337194,0.0,0.0,0.05,-5.9914646,1.0,60.0,260.0,174.0,1956.0,17400.0,280.0,,651,1000,969.1,5479.15,96910,1000,
254,254,8597.436654806137,0,32,28.817931413650513,0,150.023,2.1344724,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,167.2,1924.16,16720.0,180.0,,680,1000,980.69,3874.3739,98069,1000,
255,255,8631.673430204391,0,11,29.220498085021973,0,150.03137,2.133977,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,173.6,2183.0399999999995,17360.0,220.0,,527,1000,979.39,4366.1579,97939,1000,
256,256,8666.292561531067,0,8,29.59259581565857,0,150.03847,2.1335402,0.0,0.0,0.05,-5.9914646,1.0,40.0,260.0,173.6,1415.0399999999995,17360.0,220.0,,751,1000,980.7,3062.61,98070,1000,
257,257,8701.208057165146,0,90,29.86813187599182,0,150.04648,2.1353292,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,182.6,1765.2400000000007,18260.0,140.0,,787,1000,983.09,2125.8219000000004,98309,837,
258,258,8734.83565568924,0,1,28.9651460647583,0,150.05504,2.1314096,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,174.2,2066.3600000000006,17420.0,260.0,,651,1000,981.24,2723.1824000000006,98124,1000,
259,259,8769.128504753113,0,12,29.262468814849854,0,150.06552,2.1323195,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,168.0,2104.0,16800.0,220.0,,559,1000,976.39,5384.137900000001,97639,1000,
260,260,8803.492016077042,0,47,29.353052616119385,0,150.0751,2.1329722,0.0,0.0,0.05,-5.9914646,1.0,40.0,260.0,168.0,2208.0,16800.0,160.0,,650,1000,983.02,2976.5196000000014,98302,934,
261,261,8836.292157888412,0,16,27.92690348625183,0,150.08572,2.133384,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,168.6,2122.0399999999995,16860.0,200.0,,653,1000,970.91,4876.2619,97091,1000,
