,generations,walltimes,n_reused,unp_rank,workertimes,n_rejected,param_norm,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
36,36,1231.6882264614105,0,24,27.973174810409546,0,96.89732,2.1290293,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,129.6,3667.8399999999992,12960.0,160.0,,500,1000,945.55,11141.2075,94555,1000,
37,37,1263.9347670078278,0,7,26.932929515838623,0,98.305336,2.1303399,0.0,0.0,0.05,-5.9914646,1.0,0.0,320.0,123.8,3789.56,12380.0,160.0,,618,1000,939.82,12836.0676,93982,1000,
38,38,1297.4367091655731,0,12,28.487972736358643,0,99.67478,2.1288817,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,125.2,3764.9599999999996,12520.0,160.0,,413,1000,946.35,13931.407500000003,94635,1000,
39,39,1330.7010180950165,0,9,28.25531506538391,0,101.00177,2.131745,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,127.2,3444.1600000000008,12720.0,160.0,,486,1000,949.29,12297.245899999998,94929,1000,
40,40,1364.7357873916626,0,22,28.809160947799683,0,102.29026,2.1302967,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,137.8,3535.160000000001,13780.0,160.0,,645,1000,959.85,8105.627499999998,95985,1000,
41,41,1398.3452413082123,0,12,28.385690927505493,0,103.543015,2.130297,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,143.4,2024.44,14340.0,160.0,,544,1000,970.13,5952.633099999999,97013,1000,
42,42,1430.1211485862732,0,14,26.61485743522644,0,104.755905,2.1300688,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,121.8,4184.759999999999,12180.0,160.0,,382,1000,943.91,11047.5019,94391,1000,
43,43,1463.2826135158539,0,20,28.142969846725464,0,105.93493,2.1303754,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,137.2,3200.160000000001,13720.0,160.0,,472,1000,964.94,6435.796400000001,96494,1000,
44,44,1497.0867173671722,0,72,28.687004566192627,0,107.077156,2.1297164,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,134.8,3180.96,13480.0,120.0,,610,1000,969.65,4341.7075,96965,847,
45,45,1528.7303392887115,0,61,26.881713390350342,0,108.18472,2.1294982,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,122.8,3520.1600000000008,12280.0,120.0,,424,1000,928.42,16177.663600000002,92842,855,
46,46,1562.6951971054077,0,20,29.112197399139404,0,109.2584,2.1310523,0.0,0.0,0.05,-5.9914646,1.0,0.0,300.0,149.4,2043.6399999999994,14940.0,160.0,,695,1000,971.41,3256.6818999999996,97141,1000,
47,47,1595.7692720890045,0,64,27.974769592285156,0,110.30209,2.131954,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,119.2,4543.36,11920.0,120.0,,397,1000,946.65,14560.2475,94665,1000,
48,48,1628.6893780231476,0,13,27.868317365646362,0,111.315636,2.1299913,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,129.6,3307.839999999999,12960.0,160.0,,638,1000,963.7,6423.289999999999,96370,1000,
49,49,1662.3476612567902,0,17,28.590331554412842,0,112.30064,2.1314268,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,119.4,4355.64,11940.0,160.0,,444,1000,951.18,9707.2876,95118,1000,
50,50,1696.1605219841003,0,12,28.723976850509644,0,113.25767,2.130381,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,113.6,4695.04,11360.0,160.0,,493,1000,971.48,6739.169600000001,97148,1000,
51,51,1729.8834874629974,0,13,28.66368579864502,0,114.18667,2.131409,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,112.0,4608.0,11200.0,160.0,,589,1000,961.58,6893.543600000001,96158,1000,
52,52,1763.4193720817566,0,7,28.469710111618042,0,115.08971,2.1329403,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,122.2,5111.16,12220.0,180.0,,521,1000,968.27,7320.437099999999,96827,859,
53,53,1796.8768844604492,0,18,28.6102352142334,0,115.97066,2.1307895,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,123.6,4755.040000000001,12360.0,160.0,,552,1000,957.99,10278.169900000003,95799,1000,
54,54,1830.4014728069305,0,13,28.397846698760986,0,116.82465,2.1291208,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,131.2,3298.5600000000013,13120.0,160.0,,619,1000,959.2,6244.42,95920,1000,
55,55,1863.4170961380005,0,14,27.947081327438354,0,117.65596,2.1310508,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,118.6,4162.040000000001,11860.0,160.0,,497,1000,948.38,9191.175599999999,94838,1000,
56,56,1896.5900473594666,0,21,27.800617218017578,0,118.464066,2.1316032,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,138.2,3760.76,13820.0,160.0,,471,1000,961.99,9199.1699,96199,1000,
57,57,1929.6500754356384,0,24,27.990968704223633,0,119.25133,2.1282806,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,132.2,4615.160000000001,13220.0,160.0,,564,1000,969.98,5725.939599999999,96998,1000,
58,58,1962.785404920578,0,9,28.073960065841675,0,120.01844,2.1306317,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,127.8,4375.16,12780.0,180.0,,530,1000,959.63,10706.393099999996,95963,1000,
59,59,1997.4667189121246,0,13,29.618667364120483,0,120.76572,2.1300082,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,132.6,3517.240000000001,13260.0,160.0,,651,1000,981.29,3134.3459000000007,98129,1000,
60,60,2032.0855162143707,0,27,29.550946474075317,0,121.49444,2.129211,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,153.8,2109.56,15380.0,160.0,,654,1000,979.12,3365.6456000000007,97912,1000,
61,61,2065.707541704178,0,20,28.55616569519043,0,122.20305,2.1297731,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,143.6,2971.04,14360.0,160.0,,557,1000,966.03,6810.9291,96603,1000,
62,62,2099.503570795059,0,20,28.7387113571167,0,122.89371,2.130885,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,149.0,2211.0,14900.0,160.0,,539,1000,975.78,5819.051600000001,97578,1000,
63,63,2132.6574046611786,0,15,28.096851587295532,0,123.5683,2.1309395,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,141.2,2822.56,14120.0,160.0,,622,1000,959.39,8002.537899999997,95939,1000,
64,64,2167.1820244789124,0,23,29.348260164260864,0,124.2262,2.1302605,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,154.4,1632.6399999999994,15440.0,160.0,,834,1000,986.96,1553.7384000000006,98696,1000,
65,65,2201.702879190445,0,13,29.51150345802307,0,124.86421,2.1317792,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,152.2,3047.1600000000008,15220.0,180.0,,576,1000,983.39,4119.2779,98339,1000,
66,66,2235.185831785202,0,6,28.39710783958435,0,125.485825,2.130431,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,147.0,3059.0,14700.0,200.0,,498,1000,959.85,10949.1875,95985,1000,
67,67,2268.73805809021,0,1,28.483835220336914,0,126.08976,2.1304817,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,150.0,2364.0,15000.0,240.0,,624,1000,973.54,4736.0084,97354,1000,
68,68,2302.909538269043,0,1,29.103222608566284,0,126.67652,2.1315844,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,146.8,2721.7599999999993,14680.0,240.0,,644,1000,978.75,4015.3275,97875,972,
69,69,2337.049811601639,0,2,29.136246919631958,0,127.24821,2.1323977,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,148.8,2282.56,14880.0,220.0,,614,1000,969.89,5887.217900000001,96989,920,
70,70,2370.1305692195892,0,86,28.134536266326904,0,127.80471,2.1309445,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,147.8,3855.1600000000008,14780.0,80.0,,654,1000,962.02,5244.2396,96202,726,
71,71,2402.774759054184,0,84,28.207066297531128,0,128.34743,2.131541,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,140.8,4511.36,14080.0,60.0,,438,1000,967.83,8191.661099999998,96783,769,
72,72,2435.5791323184967,0,88,28.19204878807068,0,128.87592,2.1303935,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,143.0,3867.0,14300.0,40.0,,423,1000,969.76,8369.5424,96976,814,
73,73,2468.2434413433075,0,83,27.92740535736084,0,129.38968,2.1301417,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,136.0,5304.0,13600.0,20.0,,547,1000,970.92,7876.3935999999985,97092,1000,
74,74,2501.786855697632,0,83,28.029541492462158,0,129.8881,2.1318324,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,133.4,4688.44,13340.0,40.0,,542,1000,954.67,9210.021100000002,95467,1000,
75,75,2534.9872930049896,0,75,28.040757179260254,0,130.37556,2.1326926,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,118.6,5682.039999999999,11860.0,40.0,,527,1000,944.24,13985.4424,94424,1000,
76,76,2570.1621885299683,0,65,30.016432523727417,0,130.84953,2.1323519,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,126.0,6300.0,12600.0,140.0,,645,1000,985.41,2984.441900000001,98541,908,
77,77,2602.8094844818115,0,22,27.644988298416138,0,131.30891,2.1329663,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,111.2,6026.559999999999,11120.0,160.0,,481,1000,948.39,13942.857900000003,94839,705,
78,78,2635.6142523288727,0,12,28.440876483917236,0,131.75885,2.1313322,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,122.0,5260.0,12200.0,180.0,,569,1000,964.61,8180.3579,96461,744,
79,79,2667.579033136368,0,6,27.526431798934937,0,132.1978,2.1319902,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,137.8,4815.160000000001,13780.0,220.0,,402,1000,952.8,14059.180000000004,95280,1000,
80,80,2700.4017000198364,0,8,27.810335397720337,0,132.62796,2.131351,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,129.4,5499.64,12940.0,200.0,,541,1000,955.5,11360.29,95550,1000,
81,81,2734.197150707245,0,3,28.5985050201416,0,133.04886,2.134436,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,133.0,4675.0,13300.0,220.0,,530,1000,968.28,8329.561599999999,96828,1000,
82,82,2768.161021232605,0,22,28.911911964416504,0,133.45667,2.133112,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,142.0,3964.0,14200.0,160.0,,504,1000,978.18,4777.2476,97818,1000,
83,83,2801.8319408893585,0,33,28.497464895248413,0,133.8543,2.1321225,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,143.6,4595.040000000001,14360.0,160.0,,573,1000,962.24,8076.8423999999995,96224,1000,
84,84,2835.549556493759,0,28,28.568563222885132,0,134.23547,2.1320832,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,130.6,5395.64,13060.0,160.0,,486,1000,966.37,9941.313100000001,96637,1000,
85,85,2869.3011491298676,0,7,28.607890129089355,0,134.60814,2.1326926,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,137.4,4093.240000000001,13740.0,200.0,,644,1000,970.34,6582.9244,97034,1000,
86,86,2901.858458518982,0,8,27.537534952163696,0,134.97125,2.13161,0.0,0.0,0.05,-5.9914646,1.0,0.0,300.0,141.4,3882.0400000000013,14140.0,200.0,,517,1000,957.32,9827.8176,95732,1000,
87,87,2935.4510571956635,0,20,28.56528091430664,0,135.3267,2.1325922,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,158.8,2046.5599999999997,15880.0,180.0,,640,1000,976.11,5483.3979,97611,1000,
88,88,2969.8439013957977,0,23,29.24337339401245,0,135.67535,2.1318955,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,158.2,3232.76,15820.0,180.0,,564,1000,973.78,7147.7716,97378,1000,
89,89,3003.478607416153,0,43,28.55181908607483,0,136.01207,2.133117,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,160.8,2527.3599999999997,16080.0,160.0,,494,1000,983.86,5433.7204,98386,1000,
90,90,3037.2340784072876,0,10,28.69250249862671,0,136.33986,2.1312034,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,148.4,3633.44,14840.0,200.0,,606,1000,973.57,4735.1651,97357,1000,
91,91,3070.953044652939,0,2,28.65250277519226,0,136.66057,2.1323817,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,144.8,4616.959999999999,14480.0,240.0,,698,1000,978.59,3961.8018999999995,97859,1000,
92,92,3104.6443190574646,0,59,28.273146390914917,0,136.9744,2.1312504,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,120.4,5631.840000000002,12040.0,120.0,,612,1000,965.23,7634.017100000003,96523,735,
93,93,3136.724672317505,0,9,27.60882067680359,0,137.28354,2.1318648,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,148.2,5360.76,14820.0,220.0,,508,1000,967.91,8750.321899999999,96791,1000,
94,94,3169.941564798355,0,11,28.0353741645813,0,137.58757,2.1308658,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,127.8,5287.159999999999,12780.0,200.0,,486,1000,969.22,8726.191599999998,96922,1000,
95,95,3203.9338598251343,0,11,28.893514394760132,0,137.88585,2.1318755,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,125.6,6024.64,12560.0,200.0,,640,1000,978.6,4189.460000000001,97860,1000,
96,96,3238.2164883613586,0,2,29.207181453704834,0,138.17632,2.1332421,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,129.8,5651.960000000003,12980.0,240.0,,651,1000,967.02,6927.419599999997,96702,1000,
97,97,3271.9294064044952,0,10,28.486201524734497,0,138.45842,2.13416,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,135.8,5090.36,13580.0,220.0,,503,1000,964.14,8525.500400000003,96414,1000,
98,98,3305.9911618232727,0,3,28.86525535583496,0,138.73302,2.1310115,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,139.8,4147.96,13980.0,220.0,,534,1000,972.28,6957.101599999998,97228,1000,
99,99,3340.431310415268,0,2,29.229446411132812,0,139.00151,2.1326125,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,134.2,5042.36,13420.0,240.0,,629,1000,974.35,4868.567499999999,97435,1000,
100,100,3375.3143351078033,0,3,29.898940324783325,0,139.2636,2.1337452,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,135.6,4868.64,13560.0,220.0,,639,1000,980.02,4112.6796,98002,1000,
101,101,3407.8997070789337,0,17,27.565693378448486,0,139.51854,2.1304104,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,142.4,3586.2400000000007,14240.0,180.0,,417,1000,960.58,14241.143600000001,96058,851,
102,102,3441.0735008716583,0,31,28.405059576034546,0,139.76523,2.1329615,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,135.6,4876.64,13560.0,160.0,,556,1000,967.56,7828.666400000001,96756,948,
103,103,3474.247330188751,0,37,28.25497317314148,0,140.00778,2.131123,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,146.0,4716.0,14600.0,160.0,,545,1000,973.69,6779.373899999998,97369,1000,
104,104,3507.753700017929,0,31,28.483936309814453,0,140.24431,2.1325076,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,135.6,5396.64,13560.0,160.0,,464,1000,966.99,8059.9099,96699,1000,
105,105,3541.6409451961517,0,31,28.685181617736816,0,140.47725,2.1322823,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,136.6,4920.44,13660.0,160.0,,400,1000,952.37,12662.493100000005,95237,1000,
106,106,3574.760106563568,0,23,28.128285884857178,0,140.7029,2.1310294,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,125.2,5268.959999999999,12520.0,160.0,,674,1000,966.92,5560.0736,96692,1000,
107,107,3609.0456717014313,0,28,29.228858470916748,0,140.9204,2.1311781,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,134.8,4628.96,13480.0,160.0,,575,1000,964.06,9077.276399999997,96406,1000,
108,108,3642.8719675540924,0,36,28.79898476600647,0,141.13394,2.1337872,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,144.8,5232.959999999999,14480.0,160.0,,540,1000,976.57,5737.3051000000005,97657,1000,
109,109,3676.1244027614594,0,19,28.233355283737183,0,141.34093,2.1333208,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,143.2,3997.76,14320.0,180.0,,465,1000,955.99,12033.3499,95599,1000,
110,110,3709.846573114395,0,34,28.31929349899292,0,141.54405,2.1320152,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,143.6,4731.040000000001,14360.0,160.0,,611,1000,970.64,6077.790399999999,97064,1000,
111,111,3743.3123893737793,0,27,28.45876383781433,0,141.74396,2.130625,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,132.4,5350.24,13240.0,160.0,,498,1000,964.53,9300.629100000002,96453,1000,
112,112,3776.7128813266754,0,32,28.38488745689392,0,141.93799,2.1323638,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,140.2,5555.960000000001,14020.0,160.0,,464,1000,971.76,9475.6024,97176,1000,
113,113,3809.4860424995422,0,28,27.679251194000244,0,142.12651,2.1326685,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,129.6,5555.840000000002,12960.0,160.0,,438,1000,949.94,14229.496399999996,94994,1000,
114,114,3843.231725215912,0,31,28.734559297561646,0,142.31238,2.1329792,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,128.4,5857.440000000002,12840.0,160.0,,517,1000,958.77,12543.257100000004,95877,1000,
115,115,3875.8705456256866,0,35,27.620327472686768,0,142.49477,2.132932,0.0,0.0,0.05,-5.9914646,1.0,0.0,400.0,130.8,7579.36,13080.0,160.0,,454,1000,949.74,13791.792399999998,94974,1000,
116,116,3909.379741191864,0,26,28.29267454147339,0,142.67575,2.130314,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,122.8,6016.159999999998,12280.0,160.0,,551,1000,971.13,6786.313100000003,97113,1000,
117,117,3943.5644834041595,0,31,28.937283754348755,0,142.85307,2.1298223,0.0,0.0,0.05,-5.9914646,1.0,0.0,300.0,136.4,5507.04,13640.0,160.0,,404,1000,972.75,8068.4475,97275,1000,
118,118,3977.6061582565308,0,22,29.03049874305725,0,143.02843,2.1324658,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,122.6,6989.24,12260.0,180.0,,503,1000,970.06,7541.976399999999,97006,1000,
119,119,4010.740774869919,0,22,28.099475383758545,0,143.19832,2.1327899,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,108.6,6834.039999999999,10860.0,160.0,,633,1000,959.73,7826.317100000001,95973,1000,
120,120,4045.2535750865936,0,31,29.40416383743286,0,143.36206,2.1323912,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,126.0,6356.0,12600.0,160.0,,443,1000,968.68,9796.897600000002,96868,1000,
121,121,4077.8932218551636,0,40,27.724074840545654,0,143.52173,2.1336405,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,140.0,5648.0,14000.0,160.0,,483,1000,953.39,11271.417899999999,95339,1000,
122,122,4111.651863574982,0,12,28.83488154411316,0,143.67896,2.1345053,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,127.6,6174.24,12760.0,200.0,,404,1000,964.33,10718.2211,96433,1000,
123,123,4144.928266048431,0,11,28.26914405822754,0,143.8313,2.133011,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,133.4,5992.440000000002,13340.0,200.0,,498,1000,967.34,9004.0044,96734,940,
124,124,4177.913897752762,0,5,28.00579857826233,0,143.97873,2.1320925,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,134.0,5476.0,13400.0,220.0,,509,1000,964.2,8948.18,96420,1000,
125,125,4210.6839826107025,0,1,27.64924430847168,0,144.12173,2.132637,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,126.4,6159.04,12640.0,280.0,,499,1000,962.87,9157.273100000002,96287,1000,
126,126,4244.367449998856,0,2,28.543015956878662,0,144.26315,2.1327806,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,129.0,6003.0,12900.0,260.0,,550,1000,963.77,8766.677099999999,96377,1000,
127,127,4278.137798786163,0,4,28.751972913742065,0,144.40193,2.1331804,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,132.2,6151.159999999999,13220.0,240.0,,503,1000,958.91,8374.5219,95891,1000,
128,128,4311.224631309509,0,2,27.753414392471313,0,144.53926,2.1337469,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,118.8,6702.559999999998,11880.0,260.0,,512,1000,949.45,11673.1875,94945,1000,
129,129,4345.1702744960785,0,23,28.750755786895752,0,144.67332,2.131291,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,130.6,6459.64,13060.0,180.0,,604,1000,963.12,8053.465599999999,96312,1000,
130,130,4379.268366098404,0,32,28.907109260559082,0,144.80707,2.1340287,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,133.6,5463.039999999999,13360.0,160.0,,508,1000,972.72,6123.781599999999,97272,816,
131,131,4412.59092092514,0,6,28.595896005630493,0,144.94038,2.1315625,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,133.6,6391.04,13360.0,240.0,,594,1000,964.5,8845.03,96450,1000,
132,132,4444.883308172226,0,9,27.123757123947144,0,145.0716,2.1335542,0.0,0.0,0.05,-5.9914646,1.0,0.0,300.0,134.4,5912.64,13440.0,220.0,,492,1000,958.62,9766.6156,95862,875,
133,133,4477.813176870346,0,19,28.114969730377197,0,145.19882,2.1340537,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,120.2,6307.960000000003,12020.0,180.0,,635,1000,963.11,6660.7179,96311,697,
134,134,4511.096440315247,0,9,28.829786777496338,0,145.32265,2.1339407,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,139.2,4311.36,13920.0,200.0,,675,1000,974.33,5016.7411,97433,843,
135,135,4544.567579507828,0,2,28.70608377456665,0,145.44482,2.1308746,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,121.6,5765.440000000002,12160.0,240.0,,628,1000,970.31,5855.053899999999,97031,926,
136,136,4577.693028211594,0,4,28.13138222694397,0,145.56267,2.1340704,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,129.0,6331.0,12900.0,240.0,,604,1000,970.15,7700.247499999998,97015,1000,
137,137,4611.175288200378,0,6,28.238505601882935,0,145.67534,2.1322372,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,136.0,4424.0,13600.0,220.0,,646,1000,953.52,9405.609600000002,95352,962,
138,138,4645.162734270096,0,14,28.9499192237854,0,145.78503,2.1336734,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,138.6,5466.039999999999,13860.0,200.0,,632,1000,968.7,6267.29,96870,1000,
139,139,4678.853125095367,0,20,28.57751202583313,0,145.88884,2.1328416,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,137.8,5175.16,13780.0,180.0,,595,1000,968.15,7318.1675,96815,894,
140,140,4711.472038269043,0,23,27.80243968963623,0,145.99294,2.1323338,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,143.2,4445.76,14320.0,180.0,,390,1000,968.45,8232.9675,96845,1000,
141,141,4745.514893054962,0,10,28.878061771392822,0,146.09346,2.1329632,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,135.6,4892.64,13560.0,200.0,,581,1000,965.88,6944.565600000001,96588,1000,
142,142,4779.731417894363,0,1,29.063915729522705,0,146.18916,2.1342063,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,151.8,3872.76,15180.0,280.0,,726,1000,980.19,3190.9939,98019,1000,
143,143,4813.948901176453,0,18,29.15633201599121,0,146.28175,2.1331754,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,152.8,4340.160000000001,15280.0,200.0,,722,1000,979.31,3262.9139000000014,97931,861,
144,144,4847.187546014786,0,1,28.480775833129883,0,146.37004,2.132344,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,140.0,4768.0,14000.0,280.0,,625,1000,975.34,5352.5244,97534,1000,
145,145,4881.486127138138,0,1,29.216134786605835,0,146.46236,2.1310356,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,155.2,4080.9599999999996,15520.0,260.0,,675,1000,978.08,3996.8735999999994,97808,1000,
146,146,4915.210741996765,0,5,28.247896194458008,0,146.55244,2.1324568,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,122.6,5973.24,12260.0,220.0,,624,1000,973.39,5387.597900000001,97339,1000,
147,147,4948.223978281021,0,28,27.85525918006897,0,146.63788,2.1331475,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,136.8,3973.759999999999,13680.0,160.0,,423,1000,936.09,18200.501899999996,93609,1000,
148,148,4981.448997020721,0,19,28.154489278793335,0,146.72336,2.1327431,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,128.4,5785.440000000002,12840.0,180.0,,467,1000,967.16,7711.7544,96716,1000,
149,149,5015.190910100937,0,12,28.657562017440796,0,146.80711,2.1296687,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,144.0,3856.0,14400.0,200.0,,611,1000,971.63,5470.133100000002,97163,1000,
150,150,5049.043502569199,0,15,28.72813367843628,0,146.89021,2.1306648,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,145.8,4282.36,14580.0,200.0,,548,1000,955.69,9147.4539,95569,854,
151,151,5082.582900762558,0,14,28.795706510543823,0,146.97037,2.13264,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,148.4,3401.44,14840.0,200.0,,635,1000,965.92,6744.5736,96592,1000,
152,152,5115.651567220688,0,33,27.999237060546875,0,147.05058,2.131939,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,148.0,3912.0,14800.0,160.0,,590,1000,963.14,7910.600400000001,96314,680,
153,153,5148.513081789017,0,2,28.51059317588806,0,147.12698,2.133814,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,136.0,4608.0,13600.0,240.0,,539,1000,975.07,6243.425099999999,97507,1000,
154,154,5183.018214464188,0,12,29.33419418334961,0,147.20131,2.1311312,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,154.6,3590.84,15460.0,200.0,,574,1000,983.4,4174.5199999999995,98340,1000,
155,155,5216.730438709259,0,1,28.648618698120117,0,147.2731,2.1328726,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,145.4,3870.839999999999,14540.0,240.0,,477,1000,975.83,7183.281099999998,97583,1000,
156,156,5250.196860790253,0,81,28.376280307769775,0,147.34486,2.1328297,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,153.8,3293.56,15380.0,120.0,,506,1000,964.22,8850.431600000002,96422,673,
157,157,5282.973845243454,0,10,28.371351957321167,0,147.41443,2.1322622,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,145.8,3738.360000000001,14580.0,200.0,,541,1000,973.11,7598.097899999998,97311,1000,
158,158,5317.051917552948,0,14,29.016940355300903,0,147.48425,2.1327639,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,156.4,4123.040000000001,15640.0,200.0,,524,1000,972.32,6631.297599999999,97232,1000,
159,159,5350.553746938705,0,6,28.446542263031006,0,147.55194,2.134909,0.0,0.0,0.05,-5.9914646,1.0,0.0,300.0,144.2,4082.36,14420.0,220.0,,475,1000,966.72,9252.6216,96672,1000,
