,generations,unp_rank,n_rejected,workertimes,walltimes,grad_norm,param_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
21,21,14,0,29.609166383743286,826.994220495224,2.9270003,78.98282,0,160.40077209472656,160.4014892578125,0.048762247,-6.045747,1.0,1.0,80.0,200.0,160.4,223.84,16040.0,160.0,,680,1000,979.7,1102.83,97970,989,
22,22,7,0,29.25801157951355,865.9866342544556,2.4934022,81.614525,0,151.5983428955078,151.5972442626953,0.04880052,-6.045747,1.0,1.0,0.0,220.0,151.6,921.4400000000002,15160.0,160.0,,649,1000,968.61,3662.3179,96861,993,
23,23,8,0,29.473506212234497,904.9745914936066,2.4952946,84.19921,0,148.5984649658203,148.59918212890625,0.048806258,-6.045747,1.0,1.0,0.0,280.0,148.6,1458.0399999999997,14860.0,160.0,,751,1000,971.08,2186.1336000000006,97108,979,
24,24,83,0,28.260529041290283,942.5649535655975,2.4971719,86.72889,0,152.60386657714844,152.6094512939453,0.048803672,-6.045747,1.0,1.0,60.0,200.0,152.6,669.2399999999999,15260.0,140.0,,734,1000,966.23,4022.9970999999996,96623,936,
25,25,78,0,28.92654299736023,980.7046256065369,2.4966264,89.19608,0,149.60101318359375,149.6008758544922,0.04879441,-6.045747,1.0,1.0,0.0,220.0,149.6,1299.8400000000004,14960.0,140.0,,659,1000,969.79,3562.625899999999,96979,1000,
26,26,13,0,28.807716608047485,1018.8854644298553,2.4980307,91.60103,0,148.9934539794922,148.9860076904297,0.048766375,-6.045747,1.0,1.0,0.0,220.0,149.0,1563.0,14900.0,160.0,,690,1000,975.31,2834.8139,97531,1000,
27,27,13,0,28.18521761894226,1056.7018661499023,2.495034,93.93992,0,141.40496826171875,141.40982055664062,0.048715297,-6.045747,1.0,1.0,0.0,180.0,141.4,1802.0399999999997,14140.0,160.0,,564,1000,955.75,6971.8075,95575,1000,
28,28,10,0,29.614113807678223,1095.8034286499023,2.4942555,96.21257,0,139.80807495117188,139.81878662109375,0.04867375,-6.045747,1.0,1.0,0.0,200.0,139.8,2115.9600000000005,13980.0,160.0,,688,1000,969.87,4236.213100000001,96987,1000,
29,29,18,0,28.959529876708984,1134.1746752262115,2.4964185,98.42364,0,150.9949951171875,150.98915100097656,0.048679043,-6.045747,1.0,1.0,0.0,260.0,151.0,1243.0,15100.0,160.0,,718,1000,965.8,4603.94,96580,1000,
30,30,16,0,27.849698305130005,1171.492583990097,2.4954588,100.57055,0,139.00564575195312,139.01498413085938,0.048676975,-6.045747,1.0,1.0,0.0,200.0,139.0,2171.0,13900.0,160.0,,573,1000,955.02,7204.679599999999,95502,1000,
31,31,18,0,28.275736331939697,1209.2692229747772,2.4956703,102.65269,0,137.4005584716797,137.39987182617188,0.04865682,-6.045747,1.0,1.0,0.0,220.0,137.4,2701.2400000000007,13740.0,160.0,,514,1000,958.34,7029.164399999997,95834,1000,
