,n_reused,unp_rank,n_rejected,grad_norm,param_norm,workertimes,generations,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
230,0,1,0,42.545036,299.49072,28.06595802307129,230,7699.176956892014,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,182.4,4490.24,18240.0,260.0,,594,1000,961.32,9281.1376,96132,1000,
231,0,28,0,42.5365,300.09363,28.68092370033264,231,7732.928830385208,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,192.6,3653.2400000000007,19260.0,220.0,,607,1000,971.59,4889.241899999999,97159,976,
232,0,5,0,42.529457,300.696,28.58311367034912,232,7766.52335190773,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,168.6,5378.040000000001,16860.0,240.0,,534,1000,952.98,11214.939599999994,95298,1000,
233,0,22,0,42.577633,301.29337,28.169278144836426,233,7799.847088575363,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,176.6,5072.439999999999,17660.0,220.0,,595,1000,955.53,8058.929100000001,95553,1000,
234,0,4,0,42.530613,301.88852,27.78678798675537,234,7832.721677780151,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,155.0,6243.0,15500.0,240.0,,635,1000,943.19,10658.093900000002,94319,1000,
235,0,10,0,42.574726,302.48163,27.674684286117554,235,7865.474530220032,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,167.0,6451.0,16700.0,240.0,,519,1000,943.42,13296.523600000004,94342,1000,
236,0,13,0,42.545162,303.07654,26.84714126586914,236,7897.396481752396,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,155.6,6628.64,15560.0,220.0,,525,1000,940.26,13699.392399999997,94026,1000,
237,0,31,0,42.55192,303.67163,28.356728076934814,237,7930.957409858704,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,157.4,7285.24,15740.0,200.0,,467,1000,962.85,10512.3075,96285,1000,
238,0,7,0,42.522453,304.26828,27.20788335800171,238,7963.226427316666,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,156.8,6261.76,15680.0,240.0,,568,1000,939.99,12283.069900000002,93999,1000,
239,0,19,0,42.612793,304.8611,27.926520586013794,239,7996.1098799705505,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,167.0,5627.0,16700.0,220.0,,598,1000,940.01,12581.689900000005,94001,1000,
