,generations,walltimes,param_norm,n_reused,workertimes,grad_norm,n_rejected,unp_rank,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
184,184,6221.581818819046,162.6978,0,28.656302213668823,13.836487,0,22,0.0,0.0,0.15378553,-3.3520877,0.05,0.05,0.0,220.0,147.0,2235.0,14700.0,160.0,,555,1000,974.32,6305.477599999997,97432,1000,
185,185,6254.916921615601,162.73035,0,28.16544485092163,14.00437,0,3,0.0,0.0,0.15180418,-3.3520877,0.05,0.05,0.0,240.0,156.2,973.56,15620.0,180.0,,650,1000,982.12,3603.1856000000007,98212,1000,
186,186,6288.820203781128,162.76595,0,28.743513345718384,14.141593,0,2,0.0,0.0,0.15068449,-3.3520877,0.05,0.05,0.0,200.0,153.4,1008.4399999999998,15340.0,180.0,,640,1000,979.36,4466.2303999999995,97936,1000,
187,187,6323.130820989609,162.80319,0,29.139557600021362,14.195922,0,23,0.0,0.0,0.14985725,-3.3520877,0.05,0.05,20.0,200.0,156.0,760.0,15600.0,160.0,,662,1000,979.47,4440.2691,97947,1000,
188,188,6357.942497968674,162.84277,0,29.65276789665222,14.355407,0,23,0.0,0.0,0.14821191,-3.3520877,0.05,0.05,0.0,180.0,150.8,1539.3599999999997,15080.0,160.0,,589,1000,979.73,4585.817100000001,97973,1000,
189,189,6391.697645902634,162.8846,0,28.485313177108765,14.392006,0,19,0.0,0.0,0.1480236,-3.3520877,0.05,0.05,0.0,200.0,151.8,1216.7600000000002,15180.0,160.0,,588,1000,984.13,4416.933100000001,98413,1000,
190,190,6426.0033349990845,162.9293,0,29.13599395751953,14.349422,0,19,0.0,0.0,0.14832649,-3.3520877,0.05,0.05,0.0,200.0,156.4,899.0400000000003,15640.0,160.0,,665,1000,987.51,2325.8499000000006,98751,1000,
191,191,6459.857418060303,162.97635,0,28.68834900856018,14.321413,0,12,0.0,0.0,0.14859623,-3.3520877,0.05,0.05,80.0,200.0,153.4,536.4399999999998,15340.0,160.0,,581,1000,971.32,5513.1376,97132,1000,
192,192,6493.343796014786,163.0257,0,28.317866802215576,14.255996,0,18,0.0,0.0,0.14938451,-3.3520877,0.05,0.05,0.0,220.0,153.6,999.0400000000002,15360.0,160.0,,604,1000,976.71,6426.545899999998,97671,1000,
193,193,6527.838635921478,163.07611,0,29.239421367645264,14.163265,0,3,0.0,0.0,0.15017965,-3.3520877,0.05,0.05,0.0,220.0,152.6,1197.2399999999993,15260.0,180.0,,473,1000,986.48,3607.5496,98648,1000,
194,194,6562.325471639633,163.12872,0,29.326059818267822,13.977296,0,15,0.0,0.0,0.15207614,-3.3520877,0.05,0.05,20.0,200.0,153.4,800.44,15340.0,160.0,,652,1000,979.91,4357.221900000001,97991,1000,
195,195,6596.689035892487,163.18213,0,29.178754806518555,13.913358,0,13,0.0,0.0,0.15298894,-3.3520877,0.05,0.05,0.0,240.0,154.4,1000.6400000000001,15440.0,160.0,,651,1000,985.66,3607.6843999999987,98566,1000,
196,196,6632.116581201553,163.23721,0,30.17653489112854,13.818498,0,16,0.0,0.0,0.15399256,-3.3520877,0.05,0.05,0.0,260.0,153.8,1765.56,15380.0,160.0,,845,1000,992.46,907.5683999999998,99246,1000,
197,197,6666.4069538116455,163.2935,0,28.85189652442932,13.50686,0,9,0.0,0.0,0.15753137,-3.3520877,0.05,0.05,0.0,260.0,147.8,1951.1599999999996,14780.0,160.0,,387,1000,970.2,10002.96,97020,1000,
198,198,6701.158200263977,163.35048,0,29.54297685623169,13.090012,0,7,0.0,0.0,0.16258667,-3.3520877,0.05,0.05,0.0,260.0,150.0,1596.0,15000.0,160.0,,659,1000,982.88,3004.1656000000007,98288,1000,
199,199,6736.096107959747,163.40744,0,29.62654995918274,12.634767,0,8,0.0,0.0,0.1684196,-3.3520877,0.05,0.05,0.0,220.0,147.4,1037.2399999999998,14740.0,160.0,,644,1000,975.01,4938.6299,97501,1000,
200,200,6770.0742623806,163.46431,0,28.6477952003479,12.026218,0,6,0.0,0.0,0.17696875,-3.3520877,0.05,0.05,0.0,180.0,135.8,2466.36,13580.0,160.0,,643,1000,974.56,5405.1664,97456,1000,
201,201,6803.554403543472,163.5211,0,27.723448514938354,11.376249,0,7,0.0,0.0,0.18711275,-3.0616977,0.05,0.05,0.0,220.0,135.8,2554.36,13580.0,160.0,,615,1000,966.1,6773.529999999999,96610,1000,
202,202,6836.6271069049835,163.57634,0,27.91061544418335,11.027829,0,11,0.0,0.0,0.19282874,-3.0616977,0.05,0.05,0.0,220.0,137.4,2629.2400000000007,13740.0,160.0,,598,1000,969.97,7982.489100000002,96997,1000,
203,203,6869.968097925186,163.62994,0,28.16846799850464,10.851189,0,9,0.0,0.0,0.19612955,-3.0616977,0.05,0.05,0.0,200.0,127.8,3271.1600000000008,12780.0,160.0,,604,1000,965.15,6842.9475,96515,1000,
204,204,6903.527399778366,163.68147,0,28.390512466430664,10.724707,0,10,0.0,0.0,0.19836141,-3.0616977,0.05,0.05,0.0,240.0,121.2,4078.5600000000004,12120.0,160.0,,600,1000,956.15,9450.767500000002,95615,1000,
205,205,6937.043294668198,163.72966,0,28.24661159515381,10.559033,0,12,0.0,0.0,0.20141095,-3.0616977,0.05,0.05,0.0,300.0,125.8,4186.36,12580.0,160.0,,644,1000,970.6,6742.039999999999,97060,1000,
206,206,6970.564503192902,163.77495,0,28.215455293655396,10.503541,0,12,0.0,0.0,0.20268333,-3.0616977,0.05,0.05,0.0,240.0,139.0,2571.0,13900.0,160.0,,631,1000,969.65,6991.287500000002,96965,1000,
207,207,7004.045792579651,163.81757,0,28.301360845565796,10.461127,0,6,0.0,0.0,0.20331964,-3.0616977,0.05,0.05,0.0,200.0,122.4,3402.2400000000007,12240.0,160.0,,616,1000,963.34,7763.6644,96334,1000,
208,208,7037.999662876129,163.85727,0,28.781578540802002,10.5026655,0,15,0.0,0.0,0.20261699,-3.0616977,0.05,0.05,0.0,240.0,140.2,2331.9600000000005,14020.0,160.0,,643,1000,975.66,5538.4443999999985,97566,1000,
209,209,7071.715566158295,163.8938,0,28.556196451187134,10.546034,0,12,0.0,0.0,0.2019545,-3.0616977,0.05,0.05,0.0,220.0,140.2,2211.9600000000005,14020.0,160.0,,587,1000,967.46,7659.7684,96746,1000,
210,210,7104.27552318573,163.92809,0,27.377715349197388,10.538123,0,3,0.0,0.0,0.20190275,-3.0616977,0.05,0.05,0.0,220.0,128.2,3144.7599999999993,12820.0,180.0,,610,1000,956.94,8036.636400000001,95694,1000,
211,211,7137.434470415115,163.96063,0,27.65409255027771,10.464245,0,8,0.0,0.0,0.20319115,-3.0616977,0.05,0.05,0.0,240.0,129.0,3499.0,12900.0,160.0,,575,1000,963.39,8836.177899999999,96339,1000,
212,212,7170.478466510773,163.99055,0,27.745550870895386,10.392587,0,14,0.0,0.0,0.2048287,-3.0616977,0.05,0.05,0.0,220.0,130.4,3379.839999999999,13040.0,160.0,,522,1000,962.21,9574.605899999999,96221,1000,
213,213,7204.585589885712,164.01813,0,28.845068216323853,10.26364,0,16,0.0,0.0,0.20736894,-3.0616977,0.05,0.05,0.0,240.0,141.0,2371.0,14100.0,160.0,,638,1000,961.59,8367.0019,96159,1000,
214,214,7238.868049860001,164.04301,0,28.997902154922485,10.185117,0,11,0.0,0.0,0.20901215,-3.0616977,0.05,0.05,0.0,220.0,125.2,3428.9599999999996,12520.0,160.0,,643,1000,967.39,6813.477899999999,96739,1000,
215,215,7272.539306402206,164.06558,0,28.351505041122437,10.127219,0,10,0.0,0.0,0.2103679,-3.0616977,0.05,0.05,0.0,200.0,133.8,2485.56,13380.0,160.0,,579,1000,961.28,9039.981600000001,96128,1000,
216,216,7306.713896751404,164.08604,0,29.01878261566162,10.053238,0,12,0.0,0.0,0.21153958,-3.0616977,0.05,0.05,0.0,200.0,123.8,3869.5600000000004,12380.0,160.0,,683,1000,971.91,5230.0019,97191,1000,
217,217,7340.295564174652,164.10423,0,28.311045169830322,10.056649,0,2,0.0,0.0,0.21152575,-3.0616977,0.05,0.05,0.0,240.0,128.8,4010.5600000000004,12880.0,180.0,,453,1000,966.6,9597.620000000003,96660,1000,
218,218,7373.9460961818695,164.12036,0,28.414046049118042,9.933747,0,8,0.0,0.0,0.21414873,-3.0616977,0.05,0.05,0.0,240.0,128.6,3082.0400000000004,12860.0,160.0,,474,1000,949.77,11234.477100000002,94977,1000,
219,219,7408.289600372314,164.13419,0,28.797842264175415,9.83266,0,13,0.0,0.0,0.21635194,-3.8114216,0.05,0.05,0.0,220.0,124.2,3890.36,12420.0,160.0,,584,1000,965.39,7862.237899999999,96539,1000,
220,220,7441.239711999893,164.14644,0,27.654717683792114,9.749294,0,15,0.0,0.0,0.21838844,-3.8114216,0.05,0.05,0.0,240.0,133.0,3211.0,13300.0,160.0,,400,1000,947.29,14347.645900000005,94729,1000,
221,221,7474.681742668152,164.15714,0,28.29342484474182,9.644908,0,12,0.0,0.0,0.22039606,-3.8114216,0.05,0.05,0.0,240.0,126.4,4023.0400000000013,12640.0,160.0,,623,1000,964.67,7510.981099999999,96467,1000,
222,222,7508.481201648712,164.1665,0,28.487255573272705,9.648827,0,13,0.0,0.0,0.22053282,-3.8114216,0.05,0.05,0.0,220.0,134.2,2706.36,13420.0,160.0,,644,1000,943.23,11060.0771,94323,1000,
223,223,7541.7702560424805,164.17346,0,28.001916646957397,9.869872,0,12,0.0,0.0,0.21552089,-3.8114216,0.05,0.05,0.0,220.0,130.0,3452.0,13000.0,160.0,,497,1000,961.46,10473.4284,96146,1000,
224,224,7575.623264789581,164.17914,0,28.720089435577393,10.181484,0,10,0.0,0.0,0.20900893,-3.8114216,0.05,0.05,0.0,220.0,128.0,3520.0,12800.0,160.0,,644,1000,976.44,4363.1264,97644,1000,
225,225,7609.554050683975,164.18391,0,28.656614542007446,10.439765,0,10,0.0,0.0,0.20384516,-3.8114216,0.05,0.05,0.0,220.0,140.0,2272.0,14000.0,160.0,,589,1000,972.21,6196.125900000001,97221,1000,
226,226,7642.914215564728,164.18765,0,28.049806118011475,10.716871,0,10,0.0,0.0,0.19838303,-3.8114216,0.05,0.05,0.0,220.0,138.4,2189.44,13840.0,160.0,,543,1000,973.38,5949.695599999999,97338,1000,
227,227,7675.7672209739685,164.19029,0,27.689107418060303,11.099973,0,8,0.0,0.0,0.19167946,-3.8114216,0.05,0.05,0.0,200.0,130.4,2811.839999999999,13040.0,160.0,,523,1000,950.85,11760.307499999995,95085,1000,
228,228,7710.577154874802,164.1929,0,29.56285309791565,11.4368,0,18,0.0,0.0,0.18605344,-3.8114216,0.05,0.05,0.0,220.0,145.2,2084.9600000000005,14520.0,160.0,,810,1000,986.91,1540.5819000000001,98691,1000,
229,229,7744.804113149643,164.1955,0,29.034831523895264,11.801698,0,16,0.0,0.0,0.1802675,-3.8114216,0.05,0.05,0.0,220.0,142.4,2370.2400000000007,14240.0,160.0,,620,1000,979.27,3703.9970999999996,97927,1000,
230,230,7778.767636537552,164.19893,0,28.806032419204712,12.039778,0,13,0.0,0.0,0.17661813,-3.8114216,0.05,0.05,0.0,220.0,141.0,1963.0,14100.0,160.0,,493,1000,966.99,7309.5899,96699,1000,
231,231,7813.238382101059,164.20354,0,29.289196491241455,12.269126,0,12,0.0,0.0,0.17348032,-3.8114216,0.05,0.05,0.0,240.0,147.6,1550.24,14760.0,160.0,,658,1000,978.87,4196.5731,97887,1000,
232,232,7847.6845266819,164.21019,0,29.27160906791687,12.585113,0,2,0.0,0.0,0.16921587,-3.8114216,0.05,0.05,0.0,200.0,151.8,1048.7600000000007,15180.0,180.0,,655,1000,975.84,4496.474399999999,97584,1000,
233,233,7882.034655570984,164.21861,0,29.17795467376709,12.824581,0,19,0.0,0.0,0.16606386,-3.8114216,0.05,0.05,0.0,240.0,146.4,2287.0399999999995,14640.0,160.0,,546,1000,978.62,4908.0956000000015,97862,1000,
234,234,7917.068841218948,164.22878,0,29.68452215194702,13.035194,0,16,0.0,0.0,0.16304363,-3.8114216,0.05,0.05,0.0,220.0,154.8,1292.96,15480.0,160.0,,754,1000,991.22,1387.7515999999998,99122,1000,
235,235,7951.948085308075,164.24059,0,29.736772775650024,13.401954,0,11,0.0,0.0,0.15879302,-3.8114216,0.05,0.05,0.0,200.0,151.6,1209.4399999999996,15160.0,160.0,,672,1000,995.26,1180.4324000000001,99526,1000,
236,236,7986.9243841171265,164.25488,0,29.710576057434082,13.919034,0,13,0.0,0.0,0.15288822,-3.8114216,0.05,0.05,0.0,220.0,156.4,1075.0400000000002,15640.0,160.0,,601,1000,991.85,2039.4074999999993,99185,1000,
237,237,8022.6897168159485,164.27219,0,30.131243467330933,14.309403,0,16,0.0,0.0,0.1487169,-4.212964,0.05,0.05,0.0,240.0,156.8,901.7600000000003,15680.0,160.0,,649,1000,989.2,1973.3599999999997,98920,1000,
238,238,8056.1678557395935,164.29301,0,28.321521759033203,14.795192,0,3,0.0,0.0,0.14379641,-4.212964,0.05,0.05,0.0,220.0,156.0,608.0,15600.0,180.0,,550,1000,980.49,5010.109900000001,98049,1000,
239,239,8091.372918605804,164.31746,0,29.943777322769165,15.264022,0,14,0.0,0.0,0.13947959,-4.212964,0.05,0.05,40.0,220.0,160.0,296.0,16000.0,160.0,,617,1000,990.04,2156.6784,99004,1000,
240,240,8126.493636131287,164.34575,0,29.805052280426025,15.768822,0,24,0.0,0.0,0.13489154,-4.212964,0.05,0.05,40.0,220.0,163.8,293.55999999999995,16380.0,160.0,,706,1000,995.68,1036.1376,99568,1000,
241,241,8161.329307079315,164.3792,0,29.678749799728394,16.074837,0,2,0.0,0.0,0.13227373,-4.212964,0.05,0.05,0.0,220.0,154.4,1120.64,15440.0,180.0,,849,1000,996.66,450.3044000000003,99666,1000,
242,242,8196.457656621933,164.41777,0,29.878711223602295,16.248297,0,18,0.0,0.0,0.13097215,-4.212964,0.05,0.05,60.0,220.0,160.4,351.84000000000015,16040.0,160.0,,653,1000,993.22,1641.9316000000001,99322,1000,
243,243,8231.567949056625,164.46065,0,29.8850417137146,16.35062,0,16,0.0,0.0,0.13011588,-4.212964,0.05,0.05,40.0,220.0,160.6,355.64,16060.0,160.0,,794,1000,997.71,424.4058999999997,99771,1000,
244,244,8266.90471482277,164.50912,0,30.21883797645569,16.500534,0,1,0.0,0.0,0.12894517,-4.212964,0.05,0.05,0.0,180.0,161.8,328.76000000000005,16180.0,180.0,,831,1000,997.59,297.10189999999994,99759,1000,
245,245,8301.86855840683,164.56245,0,29.73343062400818,16.504469,0,13,0.0,0.0,0.12895778,-4.212964,0.05,0.05,20.0,220.0,160.0,376.0,16000.0,160.0,,747,1000,990.32,1700.7976000000003,99032,1000,
246,246,8337.145787477493,164.62088,0,30.072893381118774,16.457935,0,1,0.0,0.0,0.12924555,-4.212964,0.05,0.05,0.0,180.0,161.0,363.0,16100.0,180.0,,885,1000,998.64,132.73039999999995,99864,1000,
247,247,8371.928050279617,164.68417,0,29.562517404556274,16.479849,0,20,0.0,0.0,0.12918784,-4.212964,0.05,0.05,100.0,240.0,162.0,244.0,16200.0,160.0,,830,1000,993.38,909.5156,99338,1000,
248,248,8407.13863492012,164.75333,0,29.82062530517578,16.360764,0,16,0.0,0.0,0.13018018,-4.212964,0.05,0.05,0.0,180.0,157.6,626.24,15760.0,160.0,,845,1000,994.84,603.5543999999999,99484,1000,
249,249,8442.093037366867,164.82756,0,29.730834484100342,16.321218,0,20,0.0,0.0,0.13037972,-4.212964,0.05,0.05,80.0,180.0,162.4,154.24,16240.0,160.0,,737,1000,995.77,886.2971000000007,99577,1000,
250,250,8477.775173425674,164.90541,0,30.474241018295288,16.332617,0,16,0.0,0.0,0.13040273,-4.212964,0.05,0.05,120.0,240.0,162.8,136.16000000000003,16280.0,160.0,,850,1000,996.85,383.6075000000001,99685,1000,
251,251,8512.572833538055,164.9867,0,29.51642107963562,16.31417,0,1,0.0,0.0,0.13036188,-4.212964,0.05,0.05,100.0,180.0,162.8,168.16000000000003,16280.0,180.0,,789,1000,991.42,1296.6635999999996,99142,1000,
252,252,8547.451620817184,165.07199,0,29.55748152732849,16.402773,0,28,0.0,0.0,0.12969863,-4.212964,0.05,0.05,0.0,240.0,162.0,540.0,16200.0,160.0,,835,1000,991.78,1155.7516000000005,99178,1000,
253,253,8582.687869548798,165.16023,0,29.938640117645264,16.620152,0,22,0.0,0.0,0.12798537,-4.212964,0.05,0.05,100.0,220.0,163.2,181.76000000000005,16320.0,160.0,,973,1000,999.44,12.0264,99944,1000,
254,254,8618.539239406586,165.2508,0,30.583611011505127,16.995016,0,3,0.0,0.0,0.12513693,-4.212964,0.05,0.05,80.0,200.0,162.4,298.24,16240.0,180.0,,730,1000,990.84,1658.7543999999998,99084,1000,
255,255,8653.544352293015,165.34564,0,29.477044343948364,17.485188,0,21,0.0,0.0,0.12166523,-4.9044094,0.05,0.05,20.0,180.0,162.0,292.0,16200.0,160.0,,738,1000,996.73,717.9970999999995,99673,1000,
256,256,8688.530596017838,165.44409,0,29.688684225082397,17.988493,0,2,0.0,0.0,0.1183525,-4.9044094,0.05,0.05,160.0,240.0,165.2,124.95999999999997,16520.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
257,257,8723.617776632309,165.5467,0,29.888556718826294,18.59846,0,24,0.0,0.0,0.11444639,-4.9044094,0.05,0.05,0.0,180.0,162.0,396.0,16200.0,160.0,,845,1000,998.06,246.73639999999992,99806,1000,
258,258,8758.546763181686,165.65385,0,29.72896933555603,19.16892,0,12,0.0,0.0,0.11095939,-4.9044094,0.05,0.05,40.0,200.0,160.6,219.64000000000004,16060.0,160.0,,772,1000,996.14,719.5404,99614,1000,
259,259,8793.805501937866,165.76492,0,30.06303834915161,19.516193,0,20,0.0,0.0,0.108981065,-4.9044094,0.05,0.05,120.0,220.0,163.8,109.56000000000002,16380.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
260,260,8829.266925096512,165.88152,0,30.17630100250244,19.977465,0,13,0.0,0.0,0.106486246,-4.9044094,0.05,0.05,0.0,180.0,159.2,503.3599999999999,15920.0,160.0,,936,1000,999.36,40.550399999999996,99936,1000,
261,261,8864.377034902573,166.0028,0,29.713797569274902,20.534792,0,13,0.0,0.0,0.10367403,-4.9044094,0.05,0.05,120.0,180.0,161.4,74.04000000000002,16140.0,160.0,,899,1000,997.54,201.12839999999994,99754,1000,
262,262,8899.863715648651,166.13147,0,30.30249571800232,21.123182,0,14,0.0,0.0,0.10070944,-4.9044094,0.05,0.05,160.0,200.0,162.8,56.16000000000002,16280.0,160.0,,960,1000,999.6,15.840000000000009,99960,1000,
263,263,8935.749814987183,166.26735,0,30.542806148529053,21.710583,0,12,0.0,0.0,0.098065235,-4.9044094,0.05,0.05,160.0,180.0,162.2,39.16000000000001,16220.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
264,264,8971.407886266708,166.41084,0,30.409773111343384,22.110186,0,18,0.0,0.0,0.09620215,-4.9044094,0.05,0.05,100.0,180.0,162.6,101.24,16260.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
265,265,9007.534697771072,166.56352,0,30.872732877731323,22.493393,0,20,0.0,0.0,0.09465907,-4.9044094,0.05,0.05,20.0,180.0,161.6,293.44000000000017,16160.0,160.0,,840,1000,995.03,711.5890999999997,99503,1000,
266,266,9042.504299163818,166.72542,0,29.605543613433838,22.856777,0,27,0.0,0.0,0.09319436,-4.9044094,0.05,0.05,120.0,180.0,164.0,128.0,16400.0,160.0,,839,1000,996.85,486.44750000000005,99685,1000,
267,267,9077.978956699371,166.89583,0,30.22299599647522,23.273455,0,1,0.0,0.0,0.091445304,-4.9044094,0.05,0.05,160.0,180.0,165.4,78.83999999999999,16540.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
268,268,9112.7287068367,167.07637,0,29.549382209777832,23.37673,0,26,0.0,0.0,0.09108501,-4.9044094,0.05,0.05,80.0,180.0,163.0,203.0,16300.0,160.0,,566,1000,992.0,2316.72,99200,1000,
269,269,9148.000426054,167.26744,0,30.064085006713867,23.276934,0,27,0.0,0.0,0.091394976,-4.9044094,0.05,0.05,120.0,180.0,164.6,102.84,16460.0,160.0,,852,1000,997.78,268.8716,99778,1000,
270,270,9183.644594192505,167.46751,0,30.44500207901001,23.428827,0,30,0.0,0.0,0.09089274,-4.9044094,0.05,0.05,140.0,180.0,165.2,100.95999999999998,16520.0,160.0,,848,1000,998.48,228.72959999999992,99848,1000,
271,271,9218.687131404877,167.67708,0,29.816292762756348,23.907957,0,33,0.0,0.0,0.08903797,-4.9044094,0.05,0.05,120.0,180.0,166.0,108.0,16600.0,160.0,,843,1000,998.19,248.97389999999996,99819,1000,
272,272,9254.416740894318,167.89659,0,30.467013359069824,24.2315,0,22,0.0,0.0,0.08780721,-4.9044094,0.05,0.05,120.0,180.0,163.8,85.56000000000002,16380.0,160.0,,845,1000,998.45,237.8475,99845,1000,
273,273,9290.261668682098,168.12656,0,30.320279121398926,24.734667,0,8,0.0,0.0,0.08610354,-5.322509,0.05,0.05,120.0,180.0,161.0,43.0,16100.0,160.0,,851,1000,998.51,219.78989999999988,99851,1000,
274,274,9326.004588842392,168.36531,0,30.563440084457397,25.429575,0,10,0.0,0.0,0.083715156,-5.322509,0.05,0.05,160.0,180.0,161.8,32.76000000000002,16180.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
275,275,9360.890181779861,168.6141,0,29.58720350265503,25.872183,0,7,0.0,0.0,0.08216071,-5.322509,0.05,0.05,120.0,180.0,160.4,55.84000000000001,16040.0,160.0,,844,1000,996.93,461.9451000000001,99693,1000,
276,276,9396.29605460167,168.87173,0,30.176859378814697,26.425203,0,8,0.0,0.0,0.08059577,-5.322509,0.05,0.05,140.0,180.0,161.2,30.56000000000001,16120.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
277,277,9431.527332782745,169.13866,0,30.019071102142334,26.849112,0,14,0.0,0.0,0.07926989,-5.322509,0.05,0.05,120.0,220.0,162.6,93.24,16260.0,160.0,,917,1000,999.17,68.20110000000001,99917,1000,
278,278,9466.500492572784,169.41864,0,29.74669909477234,27.119953,0,17,0.0,0.0,0.07852043,-5.322509,0.05,0.05,100.0,180.0,162.6,93.24000000000002,16260.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
279,279,9502.164064645767,169.71059,0,30.462972402572632,27.66002,0,1,0.0,0.0,0.0769267,-5.322509,0.05,0.05,0.0,180.0,160.4,319.84,16040.0,180.0,,848,1000,998.48,228.72959999999983,99848,1000,
280,280,9537.926955223083,170.01492,0,30.463871002197266,28.442528,0,19,0.0,0.0,0.074811585,-5.322509,0.05,0.05,120.0,220.0,163.6,107.03999999999998,16360.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
281,281,9572.541842460632,170.33286,0,29.473628044128418,29.091938,0,16,0.0,0.0,0.07309749,-5.322509,0.05,0.05,120.0,180.0,162.0,92.0,16200.0,160.0,,840,1000,995.41,682.1819000000003,99541,1000,
282,282,9608.143264770508,170.6648,0,30.432995319366455,29.455387,0,22,0.0,0.0,0.072268754,-5.322509,0.05,0.05,160.0,240.0,164.8,120.96,16480.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
283,283,9643.681250095367,171.00891,0,30.330946683883667,29.63398,0,2,0.0,0.0,0.07183911,-5.322509,0.05,0.05,120.0,200.0,164.0,96.0,16400.0,180.0,,846,1000,998.46,234.7883999999998,99846,1000,
284,284,9679.034221887589,171.3652,0,30.157063722610474,29.704002,0,18,0.0,0.0,0.07159909,-5.322509,0.05,0.05,0.0,180.0,161.4,338.0399999999999,16140.0,160.0,,847,1000,998.47,231.7490999999999,99847,1000,
285,285,9713.615965127945,171.7361,0,29.37189030647278,29.68476,0,17,0.0,0.0,0.07168461,-5.322509,0.05,0.05,120.0,200.0,163.0,83.0,16300.0,160.0,,856,1000,998.56,205.2864,99856,1000,
286,286,9748.990987539291,172.12088,0,30.081801176071167,29.60671,0,1,0.0,0.0,0.071807496,-5.322509,0.05,0.05,120.0,180.0,162.2,71.16000000000003,16220.0,180.0,,819,1000,998.19,324.33389999999986,99819,1000,
287,287,9784.378057479858,172.51782,0,30.17059350013733,29.66312,0,15,0.0,0.0,0.07169443,-5.322509,0.05,0.05,140.0,180.0,162.6,53.240000000000016,16260.0,160.0,,895,1000,998.95,109.1474999999999,99895,1000,
288,288,9819.473272323608,172.92685,0,29.908369302749634,29.84784,0,10,0.0,0.0,0.07127024,-5.322509,0.05,0.05,140.0,180.0,161.6,37.44,16160.0,160.0,,840,1000,998.4,253.44000000000014,99840,1000,
289,289,9854.96339225769,173.3459,0,30.186254501342773,30.174767,0,1,0.0,0.0,0.07053896,-5.322509,0.05,0.05,140.0,180.0,161.6,37.44,16160.0,180.0,,973,1000,999.73,7.217100000000001,99973,1000,
290,290,9890.480730056763,173.77664,0,29.940155267715454,30.450958,0,13,0.0,0.0,0.06986053,-5.2286034,0.05,0.05,160.0,180.0,162.4,42.24,16240.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
291,291,9925.472901821136,174.21637,0,29.843730926513672,30.398663,0,14,0.0,0.0,0.07002357,-5.2286034,0.05,0.05,120.0,180.0,162.2,63.16000000000001,16220.0,160.0,,840,1000,998.4,253.4400000000001,99840,1000,
292,292,9960.909092903137,174.66473,0,30.227622985839844,30.047863,0,9,0.0,0.0,0.07085865,-5.2286034,0.05,0.05,160.0,180.0,161.6,29.44,16160.0,160.0,,990,1000,999.9,0.9900000000000001,99990,1000,
293,293,9996.50223994255,175.12088,0,30.439297676086426,29.807453,0,14,0.0,0.0,0.07128236,-5.2286034,0.05,0.05,160.0,180.0,162.6,45.240000000000016,16260.0,160.0,,989,1000,999.78,2.3716000000000004,99978,1000,
294,294,10031.743635892868,175.58377,0,30.044923067092896,29.733824,0,1,0.0,0.0,0.07155359,-5.2286034,0.05,0.05,160.0,180.0,163.4,56.44000000000002,16340.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
295,295,10067.178174734116,176.05234,0,30.143189907073975,29.80122,0,12,0.0,0.0,0.07136943,-5.2286034,0.05,0.05,120.0,180.0,161.2,78.56,16120.0,160.0,,838,1000,996.08,550.2935999999999,99608,1000,
296,296,10101.657499551773,176.52823,0,29.28263568878174,29.733519,0,26,0.0,0.0,0.071592,-5.2286034,0.05,0.05,120.0,220.0,165.4,150.83999999999997,16540.0,160.0,,843,1000,996.88,477.0056000000001,99688,1000,
297,297,10137.04991030693,177.00758,0,30.159951210021973,29.585133,0,1,0.0,0.0,0.07193016,-5.2286034,0.05,0.05,160.0,180.0,164.6,70.84,16460.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
298,298,10172.172917604446,177.49281,0,29.908016443252563,29.555653,0,22,0.0,0.0,0.07197389,-5.2286034,0.05,0.05,160.0,180.0,164.2,66.36000000000001,16420.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
299,299,10206.765187501907,177.98204,0,29.38406729698181,29.396711,0,1,0.0,0.0,0.07239727,-5.2286034,0.05,0.05,80.0,180.0,163.8,189.56,16380.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
