,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta_avg,beta_max,beta_med,beta_min,beta_std,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma_avg,sigma_max,sigma_med,sigma_min,sigma_std,unp_rank,walltimes,workertimes
0,0.1061,0.172,0.051,10.61,0.113,0.1294,0.0004997500000000001,-5.99146451730566,-5.99146451730566,-5.99146451730566,-5.99146451730566,0.00871120735074613,0,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,10000.0,0.0,-2.67598032951355,-2.4566307067871094,-2.877669095993042,-267.5980224609375,-2.6279447078704834,-2.613585948944092,0.007004625163972378,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,27,8.919739246368408,6.2193005084991455
1,0.10757,0.17,0.067,10.757,0.128,,0.0005025251000000001,-5.991446183990123,-5.90330024579164,-5.99180786952545,-6.084652451614678,0.013264404174785365,1,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.667682409286499,-2.3936426639556885,-2.8933799266815186,-266.76824951171875,-2.590574264526367,,0.008164460770785809,0.050000459080054,0.05225341022014618,0.0499914176762104,0.04772374406456947,0.00021800897073002265,18,16.14619207382202,4.59790301322937
2,0.11254,0.193,0.065,11.254,0.121,,0.0006325284000000001,-5.991422693198228,-5.856821940352095,-5.991847960932369,-6.142058323223738,0.016024338241195674,2,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6416432857513428,-2.4377498626708984,-2.853980779647827,-264.1643371582031,-2.573439121246338,,0.008535421453416348,0.050001046358692375,0.05348195508122444,0.04999041557312012,0.0463734045624733,0.00033200622804818914,22,23.52803635597229,4.754242897033691
3,0.11520000000000002,0.183,0.067,11.520000000000003,0.14,,0.00063092,-5.991399939446216,-5.8539494779201195,-5.991821282917858,-6.2167037823884295,0.019151802177287104,3,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.615081548690796,-2.327751874923706,-2.864158868789673,-261.5081481933594,-2.4535975456237793,,0.01024623028934002,0.05000161521763287,0.053558822721242905,0.04999108240008354,0.044674523174762726,0.0004009190248729946,5,30.67994523048401,4.518117189407349
4,0.11761999999999999,0.178,0.062,11.761999999999999,0.167,,0.0004943356,-5.991373873213401,-5.763763906489173,-5.991880004828036,-6.251870230910093,0.02181487824789532,4,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.5649056434631348,-2.4069440364837646,-2.791022539138794,-256.4905700683594,-2.4056451320648193,,0.00664497260004282,0.05000226689875126,0.056029219180345535,0.04998961463570595,0.043895866721868515,0.00047911790727969483,1,38.058921098709106,4.741453170776367
5,0.12899999999999998,0.193,0.076,12.899999999999999,0.16,,0.0006732200000000001,-5.991348977616631,-5.761168954665856,-5.991878067275575,-6.375525986469656,0.02368782343662822,5,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.5028083324432373,-2.210703134536743,-2.7895233631134033,-250.28082275390625,-2.3328800201416016,,0.008137267082929611,0.05000288932076232,0.0561019629240036,0.04998966306447983,0.04126407578587532,0.0005452638985973287,4,45.530341148376465,4.829992771148682
6,0.13221,0.216,0.065,13.220999999999998,0.175,,0.0008184459000000001,-5.991326097185229,-5.783145385516415,-5.991882389510564,-6.328074557257838,0.025520808713747557,6,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.4871866703033447,-2.270103693008423,-2.743948459625244,-248.71865844726562,-2.280561923980713,,0.009999031201004982,0.05000346136787398,0.05548887699842453,0.04998955503106117,0.04225480183959007,0.0005922843716420499,2,52.884684324264526,4.724173545837402
7,0.13752,0.206,0.086,13.752,0.214,,0.0007755695999999999,-5.99130464836036,-5.774728715304885,-5.991862268840946,-6.315502679401609,0.027101366542701694,7,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.4415793418884277,-2.2294890880584717,-2.6781790256500244,-244.15794372558594,-2.1745917797088623,,0.00895084161311388,0.050003997628492385,0.055722884833812714,0.049990057945251465,0.04252124950289726,0.0006381278458856974,1,60.23392701148987,4.7172205448150635
8,0.15220999999999998,0.221,0.083,15.220999999999998,0.226,,0.0009079458999999999,-5.9912815485624655,-5.74126534233995,-5.991891332095369,-6.322071947409272,0.028696754622325474,8,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.388828992843628,-2.14896821975708,-2.6069347858428955,-238.88290405273438,-2.1411209106445312,,0.006548482924699783,0.050004575172947215,0.056663066148757935,0.049989331513643265,0.04238181188702583,0.0006780599456461447,1,67.6189649105072,4.723624229431152
9,0.17556999999999998,0.267,0.097,17.557,0.281,,0.0010577851,-5.991258767768252,-5.732649296039813,-5.991823667530371,-6.510151831312077,0.030231914826351295,9,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.3119161128997803,-2.1161487102508545,-2.551973581314087,-231.1916046142578,-2.0337040424346924,,0.0065122926607728004,0.05000514474815943,0.05690769851207733,0.049991022795438766,0.03857789188623428,0.0007172218407657245,1,74.88610363006592,4.616694688796997
