,n_reused,unp_rank,workertimes,n_rejected,param_norm,generations,walltimes,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
0,0,60,5.368917226791382,0,14.148122,0,6.193520545959473,0.28371426,-2.7035953998565674,-2.703505039215088,0.05,-5.9914646,0.05,-2.9275078773498535,-2.4713997840881348,-2.7036707401275635,0.00885072723031044,-270.3670654296875,-2.721869,-2.7082713,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
1,0,74,3.050344467163086,0,14.146653,1,9.968875169754028,0.28465435,-2.6867523193359375,-2.6867213249206543,0.05,-5.9914646,0.05,-2.942030906677246,-2.453360080718994,-2.6868479251861572,0.009262432344257832,-268.6847839355469,-2.7386818,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
2,0,48,2.973428726196289,0,14.144635,2,13.680612564086914,0.2787947,-2.696502208709717,-2.6964805126190186,0.05,-5.9914646,0.05,-2.966841697692871,-2.414107084274292,-2.6965181827545166,0.010908050462603569,-269.6518249511719,-2.6895564,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
3,0,56,3.1596994400024414,0,14.142237,3,17.571288585662842,0.28426296,-2.689817428588867,-2.690133571624756,0.05,-5.9914646,0.05,-2.9842395782470703,-2.485787868499756,-2.68959903717041,0.01058344915509224,-268.95989990234375,-2.6869066,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
4,0,70,2.8739819526672363,0,14.139264,4,21.0971417427063,0.2852353,-2.6860404014587402,-2.685920476913452,0.05,-5.9914646,0.05,-2.9160079956054688,-2.415569543838501,-2.686197280883789,0.00964129064232111,-268.6197204589844,-2.7383175,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
5,0,54,3.024221420288086,0,14.135981,5,24.85139560699463,0.28385466,-2.7027230262756348,-2.70284104347229,0.05,-5.9914646,0.05,-2.9711718559265137,-2.425192356109619,-2.7027411460876465,0.011512420140206814,-270.27410888671875,-2.7068648,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
6,0,58,2.85160756111145,0,14.1323395,6,28.352937698364258,0.2787958,-2.6954212188720703,-2.6954872608184814,0.05,-5.9914646,0.05,-2.9295685291290283,-2.427520751953125,-2.695366144180298,0.009494380094110966,-269.53662109375,-2.7184489,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
7,0,33,3.2328684329986572,0,14.128318,7,32.32126069068909,0.28332633,-2.6830639839172363,-2.6831302642822266,0.05,-5.9914646,0.05,-2.9541308879852295,-2.4075303077697754,-2.6829423904418945,0.011698429472744465,-268.29425048828125,-2.6288843,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
8,0,51,3.193471670150757,0,14.123919,8,36.209168910980225,0.28664494,-2.68704891204834,-2.687077522277832,0.05,-5.9914646,0.05,-3.0197668075561523,-2.3785741329193115,-2.6869962215423584,0.014015724882483482,-268.6996154785156,-2.6760366,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
9,0,35,3.1191365718841553,0,14.119093,9,39.9434335231781,0.28646338,-2.6810004711151123,-2.681123733520508,0.05,-5.9914646,0.05,-2.915694236755371,-2.420835494995117,-2.6808393001556396,0.010019529610872269,-268.08392333984375,-2.639436,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
10,0,35,3.064298152923584,0,14.113895,10,43.58407950401306,0.2558415,-2.6656205654144287,-2.665926456451416,0.05,-5.9914646,0.05,-2.8555986881256104,-2.398153066635132,-2.665436029434204,0.009198476560413837,-266.5436096191406,-2.6335382,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
11,0,53,3.0249736309051514,0,14.108609,11,47.19359230995178,0.2857644,-2.680295467376709,-2.68034029006958,0.05,-5.9914646,0.05,-3.0306448936462402,-2.464277744293213,-2.6801815032958984,0.013009556569159031,-268.0181579589844,-2.6711402,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
12,0,27,3.1794593334198,0,14.103213,12,50.96537137031555,0.28395244,-2.6553423404693604,-2.65531063079834,0.05,-5.9914646,0.05,-2.9294049739837646,-2.3277368545532227,-2.6555330753326416,0.011771682649850845,-265.5533142089844,-2.5856652,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
13,0,56,3.0666775703430176,0,14.097807,13,54.62253451347351,0.2846616,-2.6706247329711914,-2.670639991760254,0.05,-5.9914646,0.05,-2.935676336288452,-2.4431772232055664,-2.67067289352417,0.013738621026277542,-267.0672912597656,-2.6671994,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
14,0,59,3.119224786758423,0,14.092442,14,58.32764482498169,0.28391072,-2.6636335849761963,-2.6635332107543945,0.05,-5.9914646,0.05,-3.0427958965301514,-2.4543581008911133,-2.6636099815368652,0.012728209607303143,-266.3609924316406,-2.6644692,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
15,0,38,2.8338751792907715,0,14.086915,15,61.74745512008667,0.28491712,-2.641623020172119,-2.6417031288146973,0.05,-5.9914646,0.05,-2.8530969619750977,-2.4543893337249756,-2.641620397567749,0.00943101104348898,-264.16204833984375,-2.60488,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
16,0,49,3.1702704429626465,0,14.081228,16,65.50326347351074,0.28521046,-2.643782377243042,-2.643876791000366,0.05,-5.9914646,0.05,-2.8862032890319824,-2.416860580444336,-2.6436922550201416,0.007595914416015148,-264.3692321777344,-2.6412213,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
17,0,31,3.32735013961792,0,14.075474,17,69.4104676246643,0.28478467,-2.631387948989868,-2.631647825241089,0.05,-5.9914646,0.05,-2.9184110164642334,-2.4290149211883545,-2.631188154220581,0.010042892768979073,-263.1188049316406,-2.5704477,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
18,0,25,3.2596518993377686,0,14.069561,18,73.24954533576965,0.28165513,-2.640413761138916,-2.6405532360076904,0.05,-5.9914646,0.05,-2.9043333530426025,-2.3579039573669434,-2.640280246734619,0.011006021872162819,-264.02801513671875,-2.576145,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
19,0,38,3.256911039352417,0,14.063627,19,77.09305882453918,0.27070746,-2.625155210494995,-2.625173568725586,0.05,-5.9914646,0.05,-2.8802988529205322,-2.314667224884033,-2.625168800354004,0.012550359591841698,-262.5168762207031,-2.5910015,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
20,0,30,3.0615036487579346,0,14.057963,20,80.74595165252686,0.27846137,-2.640570640563965,-2.640503168106079,0.05,-5.9914646,0.05,-2.8373937606811523,-2.45121693611145,-2.640561819076538,0.007976044900715351,-264.0561828613281,-2.6013968,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
21,0,32,3.2311580181121826,0,14.052196,21,84.5635826587677,0.28431928,-2.607429027557373,-2.6074039936065674,0.05,-5.9914646,0.05,-2.9506032466888428,-2.3758809566497803,-2.6074488162994385,0.011093061417341232,-260.744873046875,-2.5614915,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
22,0,44,3.0684618949890137,0,14.046308,22,88.13129234313965,0.28396145,-2.5985679626464844,-2.5985023975372314,0.05,-5.9914646,0.05,-2.9084970951080322,-2.321444034576416,-2.598604202270508,0.010761182755231857,-259.86041259765625,-2.5797179,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
23,0,28,3.0458343029022217,0,14.040337,23,91.76051044464111,0.28349692,-2.6086387634277344,-2.608424186706543,0.05,-5.9914646,0.05,-2.8410611152648926,-2.37550687789917,-2.6088268756866455,0.010106322355568409,-260.8826904296875,-2.5425222,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
24,0,24,3.1307523250579834,0,14.034304,24,95.47812080383301,0.28385082,-2.6015114784240723,-2.601487159729004,0.05,-5.9914646,0.05,-2.8225975036621094,-2.3442015647888184,-2.601588726043701,0.011640118435025215,-260.15887451171875,-2.5189598,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
