,n_rejected,generations,param_norm,grad_norm,walltimes,unp_rank,n_reused,workertimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
23,0,23,77.10977,42.068054,798.4289574623108,4,0,28.94238042831421,0.0,0.0,0.050553583,-6.3844986,0.05,0.05,20.0,200.0,144.6,1270.84,14460.0,180.0,,744,1000,976.2,2227.1400000000003,97620,1000,
24,0,24,79.35839,43.1966,832.9720232486725,12,0,29.273030757904053,0.0,0.0,0.049259536,-6.3844986,0.05,0.05,0.0,240.0,145.8,1698.3600000000004,14580.0,160.0,,786,1000,971.75,2367.9875,97175,1000,
25,0,25,81.58826,43.99931,866.5198607444763,23,0,28.346611738204956,0.0,0.0,0.048380848,-6.3844986,0.05,0.05,0.0,240.0,151.8,1192.7600000000004,15180.0,160.0,,634,1000,972.2,4097.56,97220,856,
26,0,26,83.8029,44.631916,900.9166550636292,6,0,29.526158571243286,0.0,0.0,0.047705304,-6.3844986,0.05,0.05,0.0,220.0,151.2,1066.56,15120.0,180.0,,713,1000,985.19,1493.8538999999996,98519,1000,
27,0,27,86.00687,45.10992,935.0632195472717,15,0,28.924302577972412,0.0,0.0,0.04719929,-6.3844986,0.05,0.05,0.0,260.0,146.0,1844.0,14600.0,160.0,,414,1000,973.97,5498.509099999998,97397,1000,
28,0,28,88.20496,45.661446,968.9841566085815,14,0,28.718215703964233,0.0,0.0,0.04657801,-6.3844986,0.05,0.05,0.0,280.0,146.8,1401.7599999999993,14680.0,160.0,,709,1000,968.11,4479.1179,96811,1000,
29,0,29,90.39884,46.63379,1003.3814597129822,20,0,29.199807167053223,0.0,0.0,0.045541942,-6.3844986,0.05,0.05,0.0,240.0,148.4,1529.44,14840.0,160.0,,611,1000,971.25,5059.7075,97125,1000,
30,0,30,92.59146,47.65618,1037.1977615356445,18,0,28.50248956680298,0.0,0.0,0.044646658,-6.3844986,0.05,0.05,0.0,220.0,152.6,1077.2399999999998,15260.0,160.0,,506,1000,973.86,5621.7604,97386,1000,
31,0,31,94.78555,48.248745,1072.0175840854645,22,0,29.526396989822388,0.0,0.0,0.04406287,-6.3844986,0.05,0.05,0.0,260.0,143.0,2707.0,14300.0,160.0,,568,1000,979.03,4013.0690999999997,97903,1000,
32,0,32,96.98447,48.977844,1106.571118593216,23,0,29.287556171417236,0.0,0.0,0.043439105,-6.3844986,0.05,0.05,0.0,220.0,146.8,2241.7599999999993,14680.0,160.0,,502,1000,972.25,7085.0475,97225,1000,
33,0,33,99.19229,49.623993,1141.4193270206451,23,0,29.698707342147827,0.0,0.0,0.04291278,-6.3844986,0.05,0.05,0.0,220.0,155.6,996.6400000000001,15560.0,160.0,,732,1000,982.9,2263.53,98290,1000,
34,0,34,101.4022,49.978565,1175.625283241272,17,0,28.985860109329224,0.0,0.0,0.04255225,-6.3844986,0.05,0.05,0.0,240.0,145.8,1922.36,14580.0,160.0,,508,1000,970.94,6479.0964,97094,1000,
