,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma,unp_rank,walltimes,workertimes
0,0.08246,0.151,0.038,8.246,0.083,0.0651,0.0004429684,-5.9868550300598145,0,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,10000.0,0.0,-2.657557964324951,-2.4300100803375244,-2.964531660079956,-265.75579833984375,-2.5472958087921143,-2.6135916709899902,0.009374172426760197,0.05000000074505806,12,8.904306650161743,6.267123222351074
1,0.08057999999999998,0.152,0.032,8.057999999999998,0.062,,0.00047040359999999987,-6.037257194519043,1,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6599948406219482,-2.470203161239624,-2.8289506435394287,-265.9994812011719,-2.6116201877593994,,0.006787932477891445,0.050115372985601425,29,16.221121788024902,4.723217248916626
2,0.09111000000000002,0.141,0.039,9.111000000000002,0.077,,0.0004976579000000001,-6.048825263977051,2,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.6270675659179688,-2.4919302463531494,-2.8863131999969482,-262.7067565917969,-2.519782066345215,,0.0058553083799779415,0.04886819049715996,5,23.568827152252197,4.756539344787598
3,0.09417,0.159,0.051,9.417,0.079,,0.0004759611,-6.073400020599365,3,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.5901970863342285,-2.403190851211548,-2.8143200874328613,-259.01971435546875,-2.478261947631836,,0.00789676234126091,0.04858634993433952,10,30.87933111190796,4.718394756317139
4,0.10073000000000004,0.179,0.05,10.073000000000004,0.106,,0.0008723771,-6.087149143218994,4,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.55706787109375,-2.3354086875915527,-2.814116954803467,-255.706787109375,-2.4019320011138916,,0.012163344770669937,0.047993004322052,6,38.27694892883301,4.7897772789001465
5,0.11004000000000001,0.181,0.057,11.004000000000001,0.108,,0.0005620983999999999,-6.086972713470459,5,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.5048115253448486,-2.2417633533477783,-2.7135002613067627,-250.4811553955078,-2.3275668621063232,,0.006644112523645163,0.047664206475019455,3,45.54550242424011,4.675228118896484
6,0.11517000000000004,0.166,0.056,11.517000000000003,0.133,,0.0005672411,-6.057312965393066,6,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.472782850265503,-2.2791008949279785,-2.7211103439331055,-247.27828979492188,-2.2894415855407715,,0.007484519854187965,0.04766841232776642,2,52.82897925376892,4.679587125778198
7,0.13473000000000002,0.225,0.089,13.473000000000003,0.211,,0.0006868571,-6.034149169921875,7,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.3924875259399414,-2.1781423091888428,-2.6128761768341064,-239.24874877929688,-2.1296803951263428,,0.007281644269824028,0.048380594700574875,1,60.11792588233948,4.678459167480469
8,0.14917999999999998,0.213,0.091,14.917999999999997,0.238,,0.0007913076,-6.016510009765625,8,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.342705488204956,-2.1672658920288086,-2.533132314682007,-234.2705535888672,-2.0614397525787354,,0.0053049419075250626,0.04894419386982918,1,67.39115977287292,4.66852331161499
9,0.16651,0.233,0.11,16.651,0.316,,0.0007748899,-6.028080940246582,9,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.2949588298797607,-2.1312143802642822,-2.595045328140259,-229.49588012695312,-1.9385946989059448,,0.005440166220068932,0.049377765506505966,1,74.74484062194824,4.749852180480957
10,0.19091000000000002,0.273,0.115,19.091,0.346,,0.0012184019000000001,-6.074659824371338,10,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.2221972942352295,-2.0698864459991455,-2.443251132965088,-222.2197265625,-1.8958708047866821,,0.006421219557523727,0.04909291863441467,1,82.09422707557678,4.742660045623779
11,0.22250999999999993,0.343,0.145,22.250999999999994,0.397,,0.0013633299000000002,-6.0741167068481445,11,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.1465446949005127,-1.9636478424072266,-2.3129944801330566,-214.6544647216797,-1.8352301120758057,,0.005421393550932407,0.04796278476715088,1,89.42442417144775,4.753357648849487
12,0.23851000000000006,0.357,0.163,23.851000000000006,0.435,,0.0016184499,-6.07672119140625,12,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.110112428665161,-1.974509835243225,-2.3060102462768555,-211.01124572753906,-1.7550644874572754,,0.005478671286255121,0.0479758083820343,1,96.71336579322815,4.716423273086548
13,0.26746,0.359,0.163,26.746,0.479,,0.0015514284,-6.072212219238281,13,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.0532522201538086,-1.9013487100601196,-2.2443721294403076,-205.32522583007812,-1.6899510622024536,,0.0051258038729429245,0.04791337624192238,1,103.94888114929199,4.658566236495972
14,0.29521,0.393,0.194,29.520999999999997,0.465,,0.0018976259000000003,-6.09483003616333,14,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-2.0000040531158447,-1.8456480503082275,-2.215898036956787,-200.00039672851562,-1.6790415048599243,,0.004524495918303728,0.04802151769399643,1,111.13357210159302,4.609745025634766
