,param_norm,unp_rank,grad_norm,n_reused,workertimes,walltimes,n_rejected,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,32.15847,16,45.31386,0,27.49985957145691,69.41611576080322,0,0,47.799686431884766,95.56877899169922,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,0.00012050931,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,32.433365,1,43.43813,0,27.618749856948853,136.08885145187378,0,1,42.59299087524414,85.18217468261719,0.05002689,-5.990389347076416,0.049985074,-5.992061614990234,0.0500248,-5.990472793579102,0.049999878,-5.991469383239746,3.0127592e-06,0.0002293179,0.05,0.05,0.0,180.0,42.6,3525.240000000001,4260.0,180.0,,410,1000,934.25,14600.5475,93425,1000,
2,33.001614,2,49.862568,0,27.031826734542847,202.2029242515564,0,2,60.597564697265625,121.22541046142578,0.05002666,-5.990398406982422,0.0499726,-5.992560863494873,0.050047155,-5.989579200744629,0.04999977,-5.99147367477417,5.733045e-06,0.00032775063,0.05,0.05,0.0,220.0,60.6,3875.64,6060.0,180.0,,614,1000,930.66,13285.644400000001,93066,1000,
3,33.924786,8,47.212692,0,26.713544845581055,267.7993049621582,0,3,55.414466857910156,110.88439178466797,0.050024785,-5.99047327041626,0.049960557,-5.993042945861816,0.050067957,-5.988748073577881,0.049999677,-5.9914774894714355,8.193963e-06,0.00041687326,0.05,0.05,0.0,200.0,55.4,4142.839999999999,5540.0,160.0,,567,1000,931.24,13791.962400000004,93124,982,
4,35.222404,4,49.883213,0,27.913289785385132,335.17002177238464,0,4,59.992828369140625,119.98025512695312,0.05002273,-5.990555763244629,0.049949624,-5.993480682373047,0.05008644,-5.988009929656982,0.04999959,-5.991480827331543,1.0422149e-05,0.00049758103,0.05,0.05,0.0,220.0,60.0,3720.0,6000.0,160.0,,657,1000,933.65,12390.4275,93365,1000,
5,36.889717,6,49.86476,0,27.09303855895996,401.1941499710083,0,5,66.19905853271484,132.4457550048828,0.050021008,-5.99062442779541,0.049939964,-5.99386739730835,0.05010297,-5.987349987030029,0.04999951,-5.99148416519165,1.2439974e-05,0.0005707212,0.05,0.05,0.0,200.0,66.2,4109.56,6620.0,160.0,,508,1000,925.45,13099.167499999998,92545,974,
6,38.895035,6,49.88058,0,26.70018172264099,466.90058398246765,0,6,68.40108489990234,136.79212951660156,0.050019655,-5.990678310394287,0.04993157,-5.994203567504883,0.050117355,-5.986775875091553,0.04999944,-5.9914870262146,1.426862e-05,0.0006370205,0.05,0.05,0.0,220.0,68.4,4441.44,6840.0,180.0,,469,1000,923.3,16344.909999999998,92330,1000,
7,41.18049,5,45.740032,0,27.158236265182495,533.1892833709717,0,7,82.2005386352539,164.43443298339844,0.050018627,-5.990719795227051,0.04992413,-5.99450159072876,0.050130308,-5.9862589836120605,0.04999939,-5.991488933563232,1.5926242e-05,0.0006975034,0.05,0.05,0.0,220.0,82.2,4455.16,8220.0,180.0,,528,1000,916.94,15725.796399999997,91694,1000,
8,43.691467,6,48.781128,0,26.32914662361145,598.5245995521545,0,8,87.39756774902344,174.84817504882812,0.050017834,-5.990751266479492,0.049917083,-5.994783878326416,0.05014255,-5.9857707023620605,0.04999933,-5.991491317749023,1.743845e-05,0.00075319933,0.05,0.05,0.0,180.0,87.4,4173.240000000002,8740.0,160.0,,427,1000,916.86,18398.4404,91686,988,
9,46.377792,9,49.297188,0,27.029218196868896,664.8533327579498,0,9,102.79813385009766,205.57025146484375,0.050017174,-5.990777492523193,0.04991109,-5.99502420425415,0.050153766,-5.985323429107666,0.049999293,-5.991492748260498,1.883098e-05,0.00080502086,0.05,0.05,0.0,260.0,102.8,4336.16,10280.0,160.0,,448,1000,927.67,13140.861099999998,92767,978,
10,49.202213,12,49.8923,0,27.03094458580017,731.9042131900787,0,10,114.40843963623047,228.9244842529297,0.050016604,-5.990800380706787,0.049904853,-5.995274066925049,0.050164096,-5.9849114418029785,0.04999925,-5.991494655609131,2.0126645e-05,0.00085428706,0.05,0.05,0.0,200.0,114.4,3816.64,11440.0,160.0,,526,1000,921.6,13716.620000000003,92160,986,
