,unp_rank,grad_norm,workertimes,n_reused,n_rejected,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
78,1,0.24532726,3.495558261871338,0,0,13.684889,277.9927816390991,78,0.0,0.0,0.05,-5.9914646,0.05,-2.4712071418762207,-2.076906681060791,-2.2874796390533447,0.0063827610574662685,-228.74795532226562,-1.9821738,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
79,1,0.24364068,3.4492857456207275,0,0,13.678354,281.61427545547485,79,0.0,0.0,0.05,-5.9914646,0.05,-2.4812161922454834,-2.006453037261963,-2.282621145248413,0.006876117549836636,-228.26211547851562,-1.9660589,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
80,1,0.24464263,3.1520023345947266,0,0,13.67181,284.9400589466095,80,0.0,0.0,0.05,-5.9914646,0.05,-2.470670700073242,-2.0243618488311768,-2.2927815914154053,0.007026748266071081,-229.27816772460938,-1.966942,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
81,1,0.24353443,3.5066590309143066,0,0,13.665159,288.6242048740387,81,0.0,0.0,0.05,-5.9914646,0.05,-2.506119966506958,-2.032349109649658,-2.278061628341675,0.010077484883368015,-227.80616760253906,-1.9269224,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
82,1,0.24086708,3.4406652450561523,0,0,13.658397,292.2428047657013,82,0.0,0.0,0.05,-5.9914646,0.05,-2.492894172668457,-2.057771682739258,-2.2674129009246826,0.0059852381236851215,-226.7412872314453,-1.928004,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
83,1,0.24197112,3.3779890537261963,0,0,13.651699,295.7999360561371,83,0.0,0.0,0.05,-5.9914646,0.05,-2.4518139362335205,-2.062528133392334,-2.2541356086730957,0.007526523433625698,-225.41355895996094,-1.970797,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
84,1,0.24197498,3.321345329284668,0,0,13.644989,299.29413199424744,84,0.0,0.0,0.05,-5.9914646,0.05,-2.457881212234497,-2.076827049255371,-2.2696101665496826,0.007258100900799036,-226.9610137939453,-1.956443,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
85,1,0.24451734,3.014465570449829,0,0,13.638328,302.4472119808197,85,0.0,0.0,0.05,-5.9914646,0.05,-2.4980556964874268,-2.0078933238983154,-2.2481353282928467,0.007786889560520649,-224.8135223388672,-1.9319345,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
86,1,0.24373002,3.7215428352355957,0,0,13.631609,306.34379863739014,86,0.0,0.0,0.05,-5.9914646,0.05,-2.531907320022583,-2.057983160018921,-2.2660555839538574,0.00831637904047966,-226.60556030273438,-1.9293987,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
87,1,0.24454135,4.096928834915161,0,0,13.624926,310.6167595386505,87,0.0,0.0,0.05,-5.9914646,0.05,-2.4778435230255127,-1.9531848430633545,-2.231682777404785,0.008205359801650047,-223.1682891845703,-1.9251941,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
88,1,0.24237749,3.5817692279815674,0,0,13.618302,314.37106442451477,88,0.0,0.0,0.05,-5.9914646,0.05,-2.4824178218841553,-2.0360450744628906,-2.241356372833252,0.008001445792615414,-224.13563537597656,-1.8944662,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
89,1,0.24269444,3.4888978004455566,0,0,13.611731,317.9937047958374,89,0.0,0.0,0.05,-5.9914646,0.05,-2.458225727081299,-1.9403480291366577,-2.228433132171631,0.009558910503983498,-222.84332275390625,-1.937524,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
90,1,0.2426457,3.3545916080474854,0,0,13.605201,321.5251874923706,90,0.0,0.0,0.05,-5.9914646,0.05,-2.431067943572998,-2.045222759246826,-2.244851589202881,0.00784103013575077,-224.48516845703125,-1.9101372,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
91,1,0.2420785,3.562093496322632,0,0,13.598681,325.26382064819336,91,0.0,0.0,0.05,-5.9914646,0.05,-2.4092321395874023,-2.0279603004455566,-2.214585542678833,0.006220018956810236,-221.45855712890625,-1.8911875,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
92,1,0.24179798,3.548325300216675,0,0,13.592149,328.9870607852936,92,0.0,0.0,0.05,-5.9914646,0.05,-2.3758113384246826,-1.986486792564392,-2.217120409011841,0.007033386267721653,-221.71205139160156,-1.8791981,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
93,1,0.2421738,3.649358034133911,0,0,13.585637,332.8067660331726,93,0.0,0.0,0.05,-5.9914646,0.05,-2.4294419288635254,-2.0291707515716553,-2.223151922225952,0.008786079473793507,-222.315185546875,-1.9048758,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
94,1,0.24096258,3.788503408432007,0,0,13.579274,336.76594066619873,94,0.0,0.0,0.05,-5.9914646,0.05,-2.444568395614624,-2.026007652282715,-2.2144064903259277,0.007555360905826092,-221.44064331054688,-1.85661,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
95,1,0.24056241,3.536184549331665,0,0,13.572884,340.47277903556824,95,0.0,0.0,0.05,-5.9914646,0.05,-2.4556267261505127,-1.9788990020751953,-2.2005319595336914,0.006722280755639076,-220.05319213867188,-1.8442242,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
96,1,0.24189879,3.6835503578186035,0,0,13.566474,344.3315005302429,96,0.0,0.0,0.05,-5.9914646,0.05,-2.4104692935943604,-2.0346028804779053,-2.194410800933838,0.006954296957701445,-219.44107055664062,-1.8638867,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
97,1,0.2428798,3.6047797203063965,0,0,13.560029,348.106032371521,97,0.0,0.0,0.05,-5.9914646,0.05,-2.379441976547241,-1.994417667388916,-2.2097158432006836,0.0055038537830114365,-220.97157287597656,-1.8391802,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
98,1,0.24189787,3.685743808746338,0,0,13.5536,351.96693444252014,98,0.0,0.0,0.05,-5.9914646,0.05,-2.3909661769866943,-1.9045475721359253,-2.186659812927246,0.006461146287620068,-218.66598510742188,-1.8330461,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
99,1,0.24222998,3.722743272781372,0,0,13.54714,355.86463952064514,99,0.0,0.0,0.05,-5.9914646,0.05,-2.3571274280548096,-2.005422830581665,-2.202503204345703,0.006294110789895058,-220.2503204345703,-1.8667765,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
