,grad_norm,n_rejected,unp_rank,param_norm,workertimes,generations,n_reused,walltimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
14,2.1280377,0,6,54.339996,28.81390619277954,14,0,501.7707073688507,0.0,0.0,0.050026562,-5.9904022216796875,0.049995255,-5.991654396057129,0.05001054,-5.9910430908203125,0.049999904,-5.99146842956543,1.1475623e-06,4.7398597e-05,1.0,1.0,0.0,200.0,148.2,904.7600000000003,14820.0,160.0,,659,1000,956.8,5748.04,95680,979,
15,2.1282089,0,6,56.691864,28.18070936203003,15,0,536.0852365493774,0.0,0.0,0.050026566,-5.9904022216796875,0.049995124,-5.991659641265869,0.05001087,-5.991029739379883,0.049999904,-5.99146842956543,1.1849579e-06,4.8768834e-05,1.0,1.0,40.0,220.0,155.0,603.0,15500.0,160.0,,516,1000,961.23,6321.837100000001,96123,973,
16,2.128097,0,5,59.02992,29.085841178894043,16,0,571.3842322826385,0.0,0.0,0.050026566,-5.9904022216796875,0.04999499,-5.991664886474609,0.05001118,-5.9910173416137695,0.049999904,-5.99146842956543,1.2192137e-06,5.0026156e-05,1.0,1.0,0.0,220.0,148.8,1234.56,14880.0,160.0,,641,1000,963.4,4857.619999999999,96340,976,
17,2.1271977,0,4,61.342987,28.930625438690186,17,0,606.4276568889618,0.0,0.0,0.050026566,-5.9904022216796875,0.04999487,-5.991669654846191,0.050011467,-5.991005897521973,0.049999904,-5.99146842956543,1.2506479e-06,5.118309e-05,1.0,1.0,0.0,200.0,150.4,1219.8400000000001,15040.0,160.0,,728,1000,971.64,2550.4304,97164,987,
18,2.1284702,0,5,63.622097,28.896127939224243,18,0,642.083818435669,0.0,0.0,0.05002657,-5.9904022216796875,0.04999475,-5.991674423217773,0.050011743,-5.990994930267334,0.049999904,-5.99146842956543,1.2795686e-06,5.2248775e-05,1.0,1.0,0.0,220.0,153.6,815.0400000000002,15360.0,160.0,,739,1000,970.95,2153.4874999999997,97095,982,
19,2.1281369,0,5,65.86623,28.862975358963013,19,0,676.9805669784546,0.0,0.0,0.05002657,-5.9904022216796875,0.049994648,-5.991678714752197,0.05001198,-5.99098539352417,0.04999989,-5.991468906402588,1.3062098e-06,5.323293e-05,1.0,1.0,0.0,200.0,150.6,1051.64,15060.0,160.0,,807,1000,975.2,1175.08,97520,984,
20,2.1303933,0,3,68.071396,28.527216911315918,20,0,711.596531867981,0.0,0.0,0.05002657,-5.9904022216796875,0.04999453,-5.991683483123779,0.050012182,-5.9909772872924805,0.04999989,-5.991468906402588,1.3308131e-06,5.4143577e-05,1.0,1.0,20.0,180.0,152.2,735.1599999999997,15220.0,160.0,,524,1000,966.79,4567.905900000001,96679,978,
21,2.1282692,0,6,70.23406,29.048349380493164,21,0,746.61745262146,0.0,0.0,0.050026577,-5.990401744842529,0.04999443,-5.991687297821045,0.05001236,-5.990970134735107,0.04999989,-5.991468906402588,1.3535812e-06,5.498775e-05,1.0,1.0,20.0,200.0,155.0,643.0,15500.0,160.0,,738,1000,973.17,1487.8410999999999,97317,981,
22,2.1287167,0,7,72.349014,29.631107091903687,22,0,782.2959420681,0.0,0.0,0.050026577,-5.990401744842529,0.04999434,-5.9916911125183105,0.05001253,-5.990963459014893,0.04999989,-5.991468906402588,1.3746857e-06,5.5772965e-05,1.0,1.0,0.0,220.0,153.2,1201.7600000000002,15320.0,160.0,,751,1000,981.4,643.44,98140,990,
23,2.1287398,0,7,74.413445,28.76708459854126,23,0,817.2104551792145,0.0,0.0,0.050026577,-5.990401744842529,0.049994264,-5.99169397354126,0.050012685,-5.990957260131836,0.04999989,-5.991468906402588,1.3943161e-06,5.6504843e-05,1.0,1.0,0.0,220.0,147.8,1383.16,14780.0,160.0,,597,1000,968.4,3813.9200000000005,96840,981,
