,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
21,120.0249,822.6578104496002,0,26,0,132.84,26.554736614227295,21,149.59609985351562,149.5928192138672,0.01878246,-9.199797,0.05,0.05,0.0,280.0,149.6,2083.8400000000006,14960.0,160.0,,498,1000,932.3,13273.889999999998,93230,1000,
22,127.51246,859.8898558616638,0,74,0,136.61726,27.816359043121338,22,154.40464782714844,154.40960693359375,0.018243171,-9.199797,0.05,0.05,0.0,280.0,154.4,2560.64,15440.0,140.0,,499,1000,956.22,8634.691599999998,95622,1000,
23,135.24982,896.029675245285,0,27,0,141.5431,26.614484548568726,23,140.39451599121094,140.39028930664062,0.01761176,-9.199797,0.05,0.05,0.0,220.0,140.4,3135.839999999999,14040.0,160.0,,458,1000,936.53,14303.5291,93653,1000,
24,143.24239,933.7984771728516,0,31,0,148.10583,28.245800018310547,24,151.9987030029297,151.99929809570312,0.016834807,-9.199797,0.05,0.05,0.0,240.0,152.0,1712.0,15200.0,160.0,,599,1000,940.72,9792.501600000001,94072,1000,
25,151.48405,972.0869483947754,0,5,0,154.40353,28.788318157196045,25,151.99276733398438,151.98818969726562,0.016153978,-9.199797,0.05,0.05,0.0,240.0,152.0,2040.0,15200.0,200.0,,655,1000,944.66,8086.584400000001,94466,1000,
26,160.00357,1006.2910330295563,0,66,0,163.89735,24.770745754241943,26,141.60092163085938,141.59649658203125,0.015219841,-9.199797,0.05,0.05,0.0,260.0,141.6,2605.44,14160.0,120.0,,635,1000,891.64,19399.8504,89164,791,
27,168.83221,1039.7229516506195,0,79,0,171.87024,24.45730447769165,27,131.19654846191406,131.1916961669922,0.014505841,-9.199797,0.05,0.05,20.0,220.0,131.2,2002.56,13120.0,80.0,,515,1000,846.83,21632.1811,84683,645,
28,178.00142,1072.8057217597961,0,58,0,179.59253,24.454325199127197,28,138.60348510742188,138.60507202148438,0.013894029,-9.199797,0.05,0.05,20.0,260.0,138.6,2546.0399999999995,13860.0,120.0,,540,1000,857.24,20357.982399999997,85724,1000,
29,187.51457,1107.2016923427582,0,19,0,185.35721,24.90530252456665,29,140.5858612060547,140.57571411132812,0.013444239,-9.199797,0.05,0.05,0.0,280.0,140.6,3523.64,14060.0,180.0,,468,1000,891.28,17804.8616,89128,1000,
30,197.36671,1142.661554813385,0,67,0,189.36133,25.955994606018066,30,162.40335083007812,162.40460205078125,0.0125929145,-9.199797,0.05,0.05,20.0,280.0,162.4,2650.2400000000007,16240.0,140.0,,529,1000,911.64,14808.290399999998,91164,736,
